time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/07/31/12:33:57.245430,"(2000, 2001, 2002, 2003)","(0.0, 41.0950927734375, -45.04063034057617, 33.173118591308594)","(0.6242119073867798, 0.4605177342891693, 0.5446755886077881, 0.4237518608570099)","(-1.8105114698410034, -992.8032836914062, 237.86575317382812, -992.9056396484375)","(200.0, -999.4067993164062, 299.23541259765625, -999.5935668945312)"
2024/07/31/12:33:57.345109,"(2000, 2001, 2002, 2003)","(0.0, 41.62915802001953, -45.6461067199707, 33.6218376159668)","(0.624566912651062, 0.459606409072876, 0.5438977479934692, 0.4225645959377289)","(-1.748679280281067, -992.7621459960938, 237.9140167236328, -992.8652954101562)","(200.0, -999.3873901367188, 299.2091979980469, -999.5797119140625)"
2024/07/31/12:33:57.446641,"(2000, 2001, 2002, 2003)","(0.0, 42.173583984375, -46.23915481567383, 34.06129455566406)","(0.6249265670776367, 0.4586862325668335, 0.5431420207023621, 0.42141249775886536)","(-1.6855617761611938, -992.7203979492188, 237.96102905273438, -992.8258666992188)","(200.0, -999.3673095703125, 299.18310546875, -999.5659790039062)"
2024/07/31/12:33:57.545322,"(2000, 2001, 2002, 2003)","(0.0, 42.71220779418945, -46.8377571105957, 34.504817962646484)","(0.6252801418304443, 0.45778489112854004, 0.5423853993415833, 0.4202602505683899)","(-1.6230337619781494, -992.6793212890625, 238.00819396972656, -992.7863159179688)","(200.0, -999.34716796875, 299.15631103515625, -999.5518798828125)"
2024/07/31/12:33:57.645440,"(2000, 2001, 2002, 2003)","(0.0, 43.25580596923828, -47.441917419433594, 34.952392578125)","(0.6256346702575684, 0.4568842947483063, 0.5416283011436462, 0.41910821199417114)","(-1.5598446130752563, -992.6380615234375, 238.0554962158203, -992.7465209960938)","(200.0, -999.326416015625, 299.12884521484375, -999.537353515625)"
2024/07/31/12:33:57.746784,"(2000, 2001, 2002, 2003)","(0.0, 43.79363250732422, -48.0396842956543, 35.39516830444336)","(0.6259831190109253, 0.4560023248195648, 0.540885865688324, 0.4179792106151581)","(-1.497246265411377, -992.5974731445312, 238.10202026367188, -992.7073364257812)","(200.0, -999.3056640625, 299.10125732421875, -999.5228271484375)"
2024/07/31/12:33:57.845848,"(2000, 2001, 2002, 2003)","(0.0, 44.32570266723633, -48.63108825683594, 35.833160400390625)","(0.6263256669044495, 0.4551387429237366, 0.5401579141616821, 0.41687288880348206)","(-1.4352400302886963, -992.5575561523438, 238.1477508544922, -992.6687622070312)","(200.0, -999.2847900390625, 299.07354736328125, -999.5082397460938)"
2024/07/31/12:33:57.946439,"(2000, 2001, 2002, 2003)","(0.0, 44.86277389526367, -49.22808074951172, 36.27521896362305)","(0.6266692280769348, 0.4542759954929352, 0.5394298434257507, 0.4157666862010956)","(-1.3725731372833252, -992.5174560546875, 238.19361877441406, -992.6299438476562)","(200.0, -999.263427734375, 299.0451354980469, -999.4932861328125)"
2024/07/31/12:33:58.045074,"(2000, 2001, 2002, 2003)","(0.0, 45.39948272705078, -49.824703216552734, 36.71692657470703)","(0.6270103454589844, 0.453422874212265, 0.5387091040611267, 0.4146718978881836)","(-1.3098721504211426, -992.4776000976562, 238.23915100097656, -992.5913696289062)","(200.0, -999.2417602539062, 299.016357421875, -999.4780883789062)"
2024/07/31/12:33:58.145360,"(2000, 2001, 2002, 2003)","(0.0, 45.93047332763672, -50.415008544921875, 37.153873443603516)","(0.627345621585846, 0.4525878131389618, 0.5380029082298279, 0.41359925270080566)","(-1.2477649450302124, -992.4384155273438, 238.2838897705078, -992.5533447265625)","(200.0, -999.2200317382812, 298.9874572753906, -999.4628295898438)"
