time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.m_nPacketCode,.m_nShipID,.m_fltHeading,.m_fltDriftangle,.m_fltShipTime,.m_fltRudderAngleFeedPORT,.m_fltRudderAngleFeedSTBD,.m_fltPropellerRPSFeedPORT,.m_fltPropellerRPSFeedSTBD,.m_fltFOGvel_rollx,.m_fltFOGvel_pitchy,.m_fltFOGvel_yawz,.m_fltFOGang_rollx,.m_fltFOGang_pitchy,.m_fltFOGang_yawz,.m_fltFOGvel_yawzG,.m_fltFOGang_yawzG,.m_fltIncl_heelx,.m_fltIncl_trimy,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/07/31/12:42:07.447058,242,1722397327,446364152,ship_info,"(1, 1, 1, 1)","(2000, 2001, 2002, 2003)","(-0.23596210777759552, 89.20227813720703, -99.86642456054688, 72.3978271484375)","(-0.13751192390918732, 19.040969848632812, -19.240564346313477, 18.357175827026367)","(45707.66015625, 45707.66015625, 45707.66015625, 45707.66015625)","(0.5221999883651733, 35.0, -35.0, 35.0)","(0.5221999883651733, 35.0, -35.0, 35.0)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.12534299492835999, 5.240911960601807, -5.854905605316162, 4.259965896606445)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.23596210777759552, 89.20227813720703, -99.86642456054688, 72.3978271484375)","(-0.12534299492835999, 5.240911960601807, -5.854905605316162, 4.259965896606445)","(-0.23596210777759552, 89.20227813720703, -99.86642456054688, 72.3978271484375)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.6374167799949646, 0.4096103310585022, 0.5010096430778503, 0.3545742630958557)","(2.1845614910125732, -991.7135620117188, 248.8302764892578, -991.6648559570312)","(199.99986267089844, -996.6507568359375, 275.52392578125, -997.6287841796875)"
2024/07/31/12:42:07.546744,243,1722397327,546412580,ship_info,"(1, 1, 1, 1)","(2000, 2001, 2002, 2003)","(-0.24778172373771667, 89.72108459472656, -100.44602966308594, 72.81948852539062)","(-0.13749884068965912, 19.050283432006836, -19.246206283569336, 18.37407684326172)","(45707.7578125, 45707.7578125, 45707.7578125, 45707.7578125)","(0.5094000101089478, 35.0, -35.0, 35.0)","(0.5094000101089478, 35.0, -35.0, 35.0)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.1193900778889656, 5.240485191345215, -5.854634761810303, 4.259212970733643)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.24778172373771667, 89.72108459472656, -100.44602966308594, 72.81948852539062)","(-0.1193900778889656, 5.240485191345215, -5.854634761810303, 4.259212970733643)","(-0.24778172373771667, 89.72108459472656, -100.44602966308594, 72.81948852539062)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.6376772522926331, 0.4093635082244873, 0.5008307099342346, 0.3541933298110962)","(2.2476913928985596, -991.7001342773438, 248.83787536621094, -991.6444702148438)","(199.99974060058594, -996.6124877929688, 275.4749450683594, -997.6002197265625)"
2024/07/31/12:42:07.646634,244,1722397327,646308847,ship_info,"(1, 1, 1, 1)","(2000, 2001, 2002, 2003)","(-0.2592642903327942, 90.25033569335938, -101.03732299804688, 73.24958801269531)","(-0.13737235963344574, 19.059606552124023, -19.251840591430664, 18.391056060791016)","(45707.859375, 45707.859375, 45707.859375, 45707.859375)","(0.498199999332428, 35.0, -35.0, 35.0)","(0.498199999332428, 35.0, -35.0, 35.0)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.11368857324123383, 5.240060329437256, -5.854366302490234, 4.258459568023682)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.2592642903327942, 90.25033569335938, -101.03732299804688, 73.24958801269531)","(-0.11368857324123383, 5.240060329437256, -5.854366302490234, 4.258459568023682)","(-0.2592642903327942, 90.25033569335938, -101.03732299804688, 73.24958801269531)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.6379411220550537, 0.40911543369293213, 0.5006511211395264, 0.3538094758987427)","(2.3121232986450195, -991.6868286132812, 248.8450927734375, -991.6239013671875)","(199.99960327148438, -996.5734252929688, 275.4248962402344, -997.571044921875)"
2024/07/31/12:42:07.746640,245,1722397327,746236291,ship_info,"(1, 1, 1, 1)","(2000, 2001, 2002, 2003)","(-0.27011680603027344, 90.77429962158203, -101.62273406982422, 73.67536163330078)","(-0.1372080147266388, 19.06865882873535, -19.25729751586914, 18.407609939575195)","(45707.9609375, 45707.9609375, 45707.9609375, 45707.9609375)","(0.4722000062465668, 35.0, -35.0, 35.0)","(0.4722000062465668, 35.0, -35.0, 35.0)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.10852517187595367, 5.239649772644043, -5.854107856750488, 4.257728099822998)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.27011680603027344, 90.77429962158203, -101.62273406982422, 73.67536163330078)","(-0.10852517187595367, 5.239649772644043, -5.854107856750488, 4.257728099822998)","(-0.27011680603027344, 90.77429962158203, -101.62273406982422, 73.67536163330078)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.6382005214691162, 0.4088735580444336, 0.5004763007164001, 0.35343414545059204)","(2.375943183898926, -991.6740112304688, 248.85174560546875, -991.603759765625)","(199.99945068359375, -996.5346069335938, 275.37530517578125, -997.5419921875)"
2024/07/31/12:42:07.846755,246,1722397327,846319988,ship_info,"(1, 1, 1, 1)","(2000, 2001, 2002, 2003)","(-0.2804969549179077, 91.29822540283203, -102.20812225341797, 74.10106658935547)","(-0.1370110809803009, 19.077539443969727, -19.262636184692383, 18.42391014099121)","(45708.05859375, 45708.05859375, 45708.05859375, 45708.05859375)","(0.4481000006198883, 35.0, -35.0, 35.0)","(0.4481000006198883, 35.0, -35.0, 35.0)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.10380159318447113, 5.239249229431152, -5.853856563568115, 4.257009983062744)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.2804969549179077, 91.29822540283203, -102.20812225341797, 74.10106658935547)","(-0.10380159318447113, 5.239249229431152, -5.853856563568115, 4.257009983062744)","(-0.2804969549179077, 91.29822540283203, -102.20812225341797, 74.10106658935547)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.6384581327438354, 0.40863531827926636, 0.5003042817115784, 0.3530634939670563)","(2.439788818359375, -991.6614990234375, 248.85787963867188, -991.5838623046875)","(199.99929809570312, -996.4956665039062, 275.3256530761719, -997.5128173828125)"
2024/07/31/12:42:07.946938,247,1722397327,946279000,ship_info,"(1, 1, 1, 1)","(2000, 2001, 2002, 2003)","(-0.2904462218284607, 91.82210540771484, -102.7934799194336, 74.52669525146484)","(-0.13679157197475433, 19.08625030517578, -19.26786231994629, 18.43996238708496)","(45708.16015625, 45708.16015625, 45708.16015625, 45708.16015625)","(0.4244999885559082, 35.0, -35.0, 35.0)","(0.4244999885559082, 35.0, -35.0, 35.0)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.09949273616075516, 5.238858222961426, -5.853611946105957, 4.256306171417236)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.2904462218284607, 91.82210540771484, -102.7934799194336, 74.52669525146484)","(-0.09949273616075516, 5.238858222961426, -5.853611946105957, 4.256306171417236)","(-0.2904462218284607, 91.82210540771484, -102.7934799194336, 74.52669525146484)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.6387138962745667, 0.40840068459510803, 0.5001351237297058, 0.3526974022388458)","(2.503659963607788, -991.6494140625, 248.863525390625, -991.5641479492188)","(199.99913024902344, -996.4566650390625, 275.27593994140625, -997.4835205078125)"
2024/07/31/12:42:08.046906,248,1722397328,46230980,ship_info,"(1, 1, 1, 1)","(2000, 2001, 2002, 2003)","(-0.3000016510486603, 92.34595489501953, -103.37882232666016, 74.95225524902344)","(-0.13654816150665283, 19.09479522705078, -19.27297592163086, 18.455772399902344)","(45708.26171875, 45708.26171875, 45708.26171875, 45708.26171875)","(0.40380001068115234, 35.0, -35.0, 35.0)","(0.40380001068115234, 35.0, -35.0, 35.0)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.09555410593748093, 5.2384772300720215, -5.853374481201172, 4.255615234375)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.3000016510486603, 92.34595489501953, -103.37882232666016, 74.95225524902344)","(-0.09555410593748093, 5.2384772300720215, -5.853374481201172, 4.255615234375)","(-0.3000016510486603, 92.34595489501953, -103.37882232666016, 74.95225524902344)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.6389678716659546, 0.40816959738731384, 0.4999687671661377, 0.3523358702659607)","(2.567556381225586, -991.6376342773438, 248.86866760253906, -991.5447387695312)","(199.9989471435547, -996.4176025390625, 275.2262268066406, -997.4541625976562)"
2024/07/31/12:42:08.146786,249,1722397328,146359090,ship_info,"(1, 1, 1, 1)","(2000, 2001, 2002, 2003)","(-0.30919796228408813, 92.86976623535156, -103.9641342163086, 75.37774658203125)","(-0.13628844916820526, 19.103179931640625, -19.27798080444336, 18.47134017944336)","(45708.359375, 45708.359375, 45708.359375, 45708.359375)","(0.38370001316070557, 35.0, -35.0, 35.0)","(0.38370001316070557, 35.0, -35.0, 35.0)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.09196311235427856, 5.238105297088623, -5.853143215179443, 4.254937648773193)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.30919796228408813, 92.86976623535156, -103.9641342163086, 75.37774658203125)","(-0.09196311235427856, 5.238105297088623, -5.853143215179443, 4.254937648773193)","(-0.30919796228408813, 92.86976623535156, -103.9641342163086, 75.37774658203125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.6392200589179993, 0.407941997051239, 0.49980512261390686, 0.3519788384437561)","(2.6314780712127686, -991.626220703125, 248.873291015625, -991.5255126953125)","(199.99874877929688, -996.37841796875, 275.17645263671875, -997.4246826171875)"
2024/07/31/12:42:08.246877,250,1722397328,246393834,ship_info,"(1, 1, 1, 1)","(2000, 2001, 2002, 2003)","(-0.31806692481040955, 93.39353942871094, -104.54942321777344, 75.80317687988281)","(-0.13601496815681458, 19.111404418945312, -19.282878875732422, 18.48667335510254)","(45708.4609375, 45708.4609375, 45708.4609375, 45708.4609375)","(0.365200012922287, 35.0, -35.0, 35.0)","(0.365200012922287, 35.0, -35.0, 35.0)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.08868969976902008, 5.237741947174072, -5.85291862487793, 4.254272937774658)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.31806692481040955, 93.39353942871094, -104.54942321777344, 75.80317687988281)","(-0.08868969976902008, 5.237741947174072, -5.85291862487793, 4.254272937774658)","(-0.31806692481040955, 93.39353942871094, -104.54942321777344, 75.80317687988281)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.6394704580307007, 0.40771782398223877, 0.4996442198753357, 0.3516262173652649)","(2.695424795150757, -991.6151733398438, 248.87741088867188, -991.5065307617188)","(199.99855041503906, -996.3391723632812, 275.12664794921875, -997.3950805664062)"
2024/07/31/12:42:08.347026,251,1722397328,346402936,ship_info,"(1, 1, 1, 1)","(2000, 2001, 2002, 2003)","(-0.3265555500984192, 93.91204071044922, -105.12884521484375, 76.22428894042969)","(-0.1357366144657135, 19.119394302368164, -19.287626266479492, 18.501623153686523)","(45708.55859375, 45708.55859375, 45708.55859375, 45708.55859375)","(0.3472999930381775, 35.0, -35.0, 35.0)","(0.3472999930381775, 35.0, -35.0, 35.0)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(9.164899826049805, 9.164899826049805, 10.264200210571289, 7.394199848175049)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.08574370294809341, 5.237391471862793, -5.852702617645264, 4.253627777099609)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(-0.3265555500984192, 93.91204071044922, -105.12884521484375, 76.22428894042969)","(-0.08574370294809341, 5.237391471862793, -5.852702617645264, 4.253627777099609)","(-0.3265555500984192, 93.91204071044922, -105.12884521484375, 76.22428894042969)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.639716625213623, 0.4074992835521698, 0.4994875192642212, 0.35128146409988403)","(2.758756399154663, -991.6046142578125, 248.88099670410156, -991.4879760742188)","(199.9983367919922, -996.3002319335938, 275.07733154296875, -997.3656616210938)"
