time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y,.RD,.RC,.K,.DCPA,.TCPA,.UDCPA,UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/07/31/12:42:07.447058,"[2000, 2001, 2002, 2003]","(-0.23596210777759552, 89.20227813720703, -99.86642456054688, 72.3978271484375)","(0.6374167799949646, 0.4096103310585022, 0.5010096430778503, 0.3545742630958557)","(2.1845614910125732, -991.7135620117188, 248.8302764892578, -991.6648559570312)","(199.99986267089844, -996.6507568359375, 275.52392578125, -997.6287841796875)","[1555.572722884687, 257.94969359474084, 1556.2941083155822]","[2.563455485119057, 3.7379724324075725, 2.570570138452674]","[230.52406998795269, 17.260793484483706, 230.5484549911629]","[1565.7742214170173, 356.7824008400865, 1567.7120790849624]","[-236.25790765964152, 281.6463926170291, -299.23307295113807]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.02952407923802719, 0.9996246561678825, 0.02957212366350931]","[0.3454523469315155, 0.41157656407504956, 0.29986446856915017]","[0.013, 0.081, 0.012]","[6.426379613466797, 5.03167593094066, 6.5761791810121455]","[4.071377333651209, 4.071377333651209, 4.071377333651209]","[3.223662931322931, 4.121961038531074, 3.355321753695043]","[2.515604341349341, 3.189327921755449, 2.614348458128425]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:42:07.546744,"[2000, 2001, 2002, 2003]","(-0.24778172373771667, 89.72108459472656, -100.44602966308594, 72.81948852539062)","(0.6376772522926331, 0.4093635082244873, 0.5008307099342346, 0.3541933298110962)","(2.2476913928985596, -991.7001342773438, 248.83787536621094, -991.6444702148438)","(199.99974060058594, -996.6124877929688, 275.4749450683594, -997.6002197265625)","[1555.5749472174493, 257.88229271877657, 1556.2993301870802]","[2.566406829411763, 3.7335017046375434, 2.5722855260090496]","[230.53357786918852, 17.265845812076364, 230.55838919823714]","[1566.309972396623, 356.9162437487296, 1568.0449603193854]","[-241.3285687813417, 280.7774242519813, -302.2169892008202]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029542806798138643, 0.9996268334364709, 0.029591709243351805]","[0.34513688948956384, 0.411207073869181, 0.29955255923697366]","[0.013, 0.081, 0.012]","[6.428133183707542, 5.037562259402455, 6.578259432417313]","[4.071643075484082, 4.071643075484082, 4.071643075484082]","[3.2252798051599623, 4.1179748495939625, 3.3572347083730887]","[2.5168169967271146, 3.186338280052615, 2.6157831741369595]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:42:07.646634,"[2000, 2001, 2002, 2003]","(-0.2592642903327942, 90.25033569335938, -101.03732299804688, 73.24958801269531)","(0.6379411220550537, 0.40911543369293213, 0.5006511211395264, 0.3538094758987427)","(2.3121232986450195, -991.6868286132812, 248.8450927734375, -991.6239013671875)","(199.99960327148438, -996.5734252929688, 275.4248962402344, -997.571044921875)","[1555.577461975262, 257.8129776021103, 1556.3047869243765]","[2.5694279368434745, 3.7289484802806574, 2.5740474513559706]","[230.54268932705114, 17.270443260981327, 230.56793996165524]","[1566.8723752646479, 357.048351003421, 1568.391646688675]","[-246.48156701366193, 279.8970076555912, -305.26958278531686]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.02956075987628859, 0.9996288091764887, 0.029610545819464984]","[0.3448142294550118, 0.41082717987889256, 0.29923588049281385]","[0.013, 0.081, 0.012]","[6.429903527353625, 5.043571508145424, 6.580360335786874]","[4.071912215883464, 4.071912215883464, 4.071912215883464]","[3.2269125649126074, 4.11389519107808, 3.359167111194352]","[2.5180415665415983, 3.1832785361657026, 2.617232476252907]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:42:07.746640,"[2000, 2001, 2002, 2003]","(-0.27011680603027344, 90.77429962158203, -101.62273406982422, 73.67536163330078)","(0.6382005214691162, 0.4088735580444336, 0.5004763007164001, 0.35343414545059204)","(2.375943183898926, -991.6740112304688, 248.85174560546875, -991.603759765625)","(199.99945068359375, -996.5346069335938, 275.37530517578125, -997.5419921875)","[1555.5800763782822, 257.74384991410386, 1556.3102096084306]","[2.5724283407372575, 3.7244475659986414, 2.575802841194117]","[230.5511796344827, 17.274504426218876, 230.57686843353204]","[1567.4447829156304, 357.1748430790789, 1568.7417559891026]","[-251.56227625857292, 279.031546913072, -308.29803763127666]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.02957749464221293, 0.9996305500895928, 0.029628161253192065]","[0.344493981715149, 0.410448150040826, 0.2989238812504592]","[0.013, 0.081, 0.012]","[6.431637721124199, 5.049524612648657, 6.5824192625105855]","[4.072176730336706, 4.072176730336706, 4.072176730336706]","[3.2285124040970437, 4.109843604475877, 3.361061353624039]","[2.5192414459299255, 3.18023984621405, 2.6186531580751717]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:42:07.846755,"[2000, 2001, 2002, 2003]","(-0.2804969549179077, 91.29822540283203, -102.20812225341797, 74.10106658935547)","(0.6384581327438354, 0.40863531827926636, 0.5003042817115784, 0.3530634939670563)","(2.439788818359375, -991.6614990234375, 248.85787963867188, -991.5838623046875)","(199.99929809570312, -996.4956665039062, 275.3256530761719, -997.5128173828125)","[1555.5828110124808, 257.67418724621757, 1556.3157124995414]","[2.5754374902120363, 3.7199531554402014, 2.5775684110547243]","[230.5591853346528, 17.278111998840345, 230.585314036378]","[1568.0326852216208, 357.2970290431305, 1569.0986921203632]","[-256.62136267100436, 278.1723223648, -311.33081463313397]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029593279169375708, 0.999632093128914, 0.029644829504929193]","[0.34417287767909455, 0.41006607445373755, 0.29861340781199436]","[0.013, 0.081, 0.012]","[6.433353896278424, 5.055480783050859, 6.584457439952368]","[4.072439356373156, 4.072439356373156, 4.072439356373156]","[3.230096033920639, 4.105780282915465, 3.362936959641158]","[2.520429168297622, 3.1771923550437418, 2.6200598625880116]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:42:07.946938,"[2000, 2001, 2002, 2003]","(-0.2904462218284607, 91.82210540771484, -102.7934799194336, 74.52669525146484)","(0.6387138962745667, 0.40840068459510803, 0.5001351237297058, 0.3526974022388458)","(2.503659963607788, -991.6494140625, 248.863525390625, -991.5641479492188)","(199.99913024902344, -996.4566650390625, 275.27593994140625, -997.4835205078125)","[1555.5857789884658, 257.60402343805873, 1556.321244748805]","[2.5784547407944136, 3.7154649117924565, 2.579343525211523]","[230.566745539158, 17.281308683332757, 230.59331963229582]","[1568.6361602671977, 357.41497706400696, 1569.4623469079156]","[-261.6581466689984, 277.3194215772995, -314.3663359137514]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029608189735636836, 0.9996334577249038, 0.029660634290951837]","[0.34385094183213233, 0.40968102225799286, 0.2983044208131398]","[0.013, 0.08, 0.012]","[6.435051906269588, 5.061439436318809, 6.586474977110209]","[4.072700034641537, 4.072700034641537, 4.072700034641537]","[3.231663303945451, 4.101705479048754, 3.364794000585574]","[2.5216046208162313, 3.174136252143709, 2.6214526432963234]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:42:08.046906,"[2000, 2001, 2002, 2003]","(-0.3000016510486603, 92.34595489501953, -103.37882232666016, 74.95225524902344)","(0.6389678716659546, 0.40816959738731384, 0.4999687671661377, 0.3523358702659607)","(2.567556381225586, -991.6376342773438, 248.86866760253906, -991.5447387695312)","(199.9989471435547, -996.4176025390625, 275.2262268066406, -997.4541625976562)","[1555.5889021861371, 257.53336191845966, 1556.326931163301]","[2.5814797407003645, 3.710982218316102, 2.581127582905277]","[230.57390075819748, 17.284145463756815, 230.60092025009192]","[1569.2551201849635, 357.52873661299066, 1569.8328014010372]","[-266.67223789240137, 276.47287678985725, -317.4032120853523]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.02962230551405015, 0.9996346665630911, 0.02967564400515671]","[0.3435281149040205, 0.4092929099296375, 0.2979969247610107]","[0.013, 0.08, 0.012]","[6.436732179500918, 5.0674004430836925, 6.588472135050131]","[4.072958827294065, 4.072958827294065, 4.072958827294065]","[3.233214603949744, 4.097619589327837, 3.3666327203814865]","[2.5227680958194507, 3.171071834853021, 2.622831683143258]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:42:08.146786,"[2000, 2001, 2002, 2003]","(-0.30919796228408813, 92.86976623535156, -103.9641342163086, 75.37774658203125)","(0.6392200589179993, 0.407941997051239, 0.49980512261390686, 0.3519788384437561)","(2.6314780712127686, -991.626220703125, 248.873291015625, -991.5255126953125)","(199.99874877929688, -996.37841796875, 275.17645263671875, -997.4246826171875)","[1555.5921727131922, 257.46217021506124, 1556.3326468380092]","[2.5845120103016863, 3.7065047140692244, 2.5829200441636746]","[230.58068254647446, 17.28664504936659, 230.608152632446]","[1569.8895367995356, 357.6382714471715, 1570.2098768537837]","[-271.66329967893074, 275.63269642937667, -320.44006164210805]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029635688129449222, 0.9996357300582233, 0.029689930546094312]","[0.343204366152627, 0.40890167338643174, 0.29769089919839303]","[0.013, 0.08, 0.012]","[6.438394896785138, 5.073363306806629, 6.5904490981286505]","[4.073215735699401, 4.073215735699401, 4.073215735699401]","[3.2347500888110825, 4.093523061637247, 3.368453276220357]","[2.5239197094654546, 3.1679994390850776, 2.6241971000224105]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:42:08.246877,"[2000, 2001, 2002, 2003]","(-0.31806692481040955, 93.39353942871094, -104.54942321777344, 75.80317687988281)","(0.6394704580307007, 0.40771782398223877, 0.4996442198753357, 0.3516262173652649)","(2.695424795150757, -991.6151733398438, 248.87741088867188, -991.5065307617188)","(199.99855041503906, -996.3391723632812, 275.12664794921875, -997.3950805664062)","[1555.5956491405816, 257.39046756657353, 1556.3384423754724]","[2.5875511487614755, 3.7020320035475818, 2.584720484079015]","[230.58712447693526, 17.28884142797181, 230.61504718569486]","[1570.539438568105, 357.7436301258079, 1570.5936014656993]","[-276.63098289511134, 274.79888807722676, -323.4759614227548]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029648403287930503, 0.9996366632692586, 0.029703553402879668]","[0.3428796633352047, 0.408507326566315, 0.2973862994117974]","[0.013, 0.08, 0.012]","[6.440040238589065, 5.079327779990396, 6.5924061312788504]","[4.073470761215118, 4.073470761215118, 4.073470761215118]","[3.2362699131832198, 4.08941612493939, 3.3702558962382407]","[2.5250595777445577, 3.1649192365616856, 2.6255490650358237]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:42:08.347026,"[2000, 2001, 2002, 2003]","(-0.3265555500984192, 93.91204071044922, -105.12884521484375, 76.22428894042969)","(0.639716625213623, 0.4074992835521698, 0.4994875192642212, 0.35128146409988403)","(2.758756399154663, -991.6046142578125, 248.88099670410156, -991.4879760742188)","(199.9983367919922, -996.3002319335938, 275.07733154296875, -997.3656616210938)","[1555.5992702360768, 257.3189928655321, 1556.3442488725275]","[2.5905662398663223, 3.6976082287691634, 2.5865102442943066]","[230.5931964993723, 17.290755726224777, 230.6215706850074]","[1571.1980387973058, 357.8438719779586, 1570.9799730149011]","[-281.52562940861833, 273.9797293431453, -326.4793420522111]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029660391163449373, 0.9996374756523985, 0.02971644637891957]","[0.3425572745174497, 0.40811376006307665, 0.2970861557668351]","[0.013, 0.08, 0.012]","[6.441652127188663, 5.085234017397346, 6.594324125517394]","[4.073721417131514, 4.073721417131514, 4.073721417131514]","[3.2377592207640293, 4.08534032248784, 3.372022972342796]","[2.526176558430165, 3.1618623847230234, 2.62687437211424]","['Safe', 'Starboard crossing', 'Safe']"
