time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y,.RD,.RC,.K,.DCPA,.TCPA,.UDCPA,UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/07/30/14:35:08.460290,"[2000, 2001, 2002, 2003]","(-342.19952392578125, 181.84783935546875, -144.5625, 114.7646484375)","(0.3688671290874481, 0.5383177995681763, 0.49038398265838623, 0.32431575655937195)","(0.031066318973898888, 284.1579895019531, -994.2733154296875, -997.7088012695312)","(206.33233642578125, 209.14309692382812, -1000.3099365234375, -997.5643310546875)","[284.1409257396391, 1563.53032945917, 1563.602360597658]","[3.2868899989872764, 3.6281181630345998, 2.784481769350082]","[342.766310975639, 572.7101204228304, 572.5489866013207]","[400.0011229527751, 2127.715263174727, 1645.902576418567]","[312.9210771401618, -1697.1724573377855, -986.7320926582023]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8462633829821486, 0.00535443770869698, 0.005228108787410202]","[0.5913233631887894, 0.5568299502350329, 0.4519366353026644]","[0.076, 0.019, 0.015]","[5.165121647983767, 4.699189805220686, 5.335944891753104]","[3.7507751097061695, 3.7507751097061695, 3.7507751097061695]","[1.7524566578338268, 1.7190745068628024, 2.2296999284959327]","[1.4121996362325129, 1.3871630230042447, 1.7701320892290924]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:08.560242,"[2000, 2001, 2002, 2003]","(-342.78192138671875, 181.84765625, -145.15234375, 115.19140625)","(0.3692134916782379, 0.5383554100990295, 0.49038398265838623, 0.32431530952453613)","(0.06305596977472305, 284.10418701171875, -994.3021850585938, -997.7120361328125)","(206.3507843017578, 209.141357421875, -1000.3502197265625, -997.53173828125)","[284.05493875816217, 1563.614357318077, 1563.613947022708]","[3.2828288995228996, 3.6178077356271676, 2.782530672139444]","[343.3448078873517, 573.2921654315811, 573.1300595196313]","[399.98627709635394, 2123.5771317271447, 1645.0276628366403]","[312.65169166197705, -1689.1871117425003, -973.280108403857]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8508523809094821, 0.005823709097365293, 0.005690970837033293]","[0.5900967748105223, 0.5564463000004645, 0.4514532275087595]","[0.076, 0.019, 0.015]","[5.166110060446618, 4.701779932932532, 5.338161675290652]","[3.751269315937595, 3.751269315937595, 3.751269315937595]","[1.7531480303458589, 1.7211641490691527, 2.2315710654375955]","[1.412718165616537, 1.3887302546590075, 1.7715354419353397]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:08.659862,"[2000, 2001, 2002, 2003]","(-343.351806640625, 181.84747314453125, -145.7255859375, 115.6044921875)","(0.36958447098731995, 0.5383921265602112, 0.49038398265838623, 0.3243149220943451)","(0.09495987743139267, 284.0509033203125, -994.33056640625, -997.7153930664062)","(206.3686981201172, 209.13963317871094, -1000.3889770507812, -997.5001220703125)","[283.96956296676973, 1563.6964304645976, 1563.6258981590745]","[3.278854983799843, 3.6077515650766183, 2.7806237563051925]","[343.9108998687124, 573.8616665027826, 573.6986295728807]","[399.9669268288032, 2119.451536335572, 1644.1771097080973]","[312.37873423227404, -1681.1763455323364, -960.3817750655444]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8552887535131888, 0.006302571053610262, 0.006163485522214185]","[0.5888521244729259, 0.5560428371496748, 0.45093137891614415]","[0.077, 0.019, 0.015]","[5.167168088319041, 4.704551314412312, 5.340533463521108]","[3.7517983298738065, 3.7517983298738065, 3.7517983298738065]","[1.7538882101223705, 1.7234006341086014, 2.233573567082619]","[1.4132733004489209, 1.3904076184385938, 1.773037318169107]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:08.759787,"[2000, 2001, 2002, 2003]","(-343.92547607421875, 181.8472900390625, -146.3154296875, 116.0302734375)","(0.3699798285961151, 0.5384290218353271, 0.49038398265838623, 0.32431450486183167)","(0.1277494877576828, 283.9965515136719, -994.3602294921875, -997.7191162109375)","(206.38661193847656, 209.13787841796875, -1000.4286499023438, -997.4675903320312)","[283.8822343988889, 1563.7805886068707, 1563.6379441663116]","[3.2748524283804388, 3.597496564057749, 2.778804893863025]","[344.48077141090397, 574.4349118407569, 574.2709270992575]","[399.9424658481064, 2115.154977302944, 1643.370889961468]","[312.0980073413892, -1672.7784687503981, -947.8419473041262]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8596997540343769, 0.00680436329777212, 0.006658786067097022]","[0.5875656342349271, 0.5555940489472256, 0.4503647973204772]","[0.077, 0.019, 0.015]","[5.168294923107416, 4.707501595826436, 5.343058631459213]","[3.7523617472679938, 3.7523617472679938, 3.7523617472679938]","[1.7546766544089183, 1.7257821859491478, 2.2357061506031797]","[1.4138646336638314, 1.3921937823190036, 1.7746367558095277]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:08.860764,"[2000, 2001, 2002, 2003]","(-344.49188232421875, 181.84710693359375, -146.90625, 116.4560546875)","(0.3704046308994293, 0.5384653806686401, 0.49038398265838623, 0.3243141174316406)","(0.16077560186386108, 283.94219970703125, -994.3903198242188, -997.7230224609375)","(206.40419006347656, 209.1361083984375, -1000.468017578125, -997.43505859375)","[283.79467367072004, 1563.8646743768652, 1563.650000407325]","[3.2708999317886107, 3.587280364125527, 2.777086926482574]","[345.04344258184847, 575.0008603418927, 574.8359417758171]","[399.9133985903199, 2110.7859159085697, 1642.6139592037289]","[311.81054974790186, -1664.1678748268482, -935.8441665366164]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.864000100196594, 0.007319339014909831, 0.0071672603249949285]","[0.5862484023968499, 0.5551015633226405, 0.44975264998484576]","[0.077, 0.019, 0.015]","[5.169504854042179, 4.71066791260563, 5.345768768780504]","[3.7529667127353754, 3.7529667127353754, 3.7529667127353754]","[1.755523388176769, 1.7283389262163693, 2.2379956265654695]","[1.4144996839897195, 1.3941113375194198, 1.776353862781245]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:08.959838,"[2000, 2001, 2002, 2003]","(-345.05706787109375, 181.84698486328125, -147.501953125, 116.88671875)","(0.37086087465286255, 0.538501501083374, 0.49038398265838623, 0.3243137001991272)","(0.19436527788639069, 283.8872985839844, -994.4210815429688, -997.727294921875)","(206.4215850830078, 209.13433837890625, -1000.5074462890625, -997.4022216796875)","[283.7060030726406, 1563.9494514252222, 1563.6622750315746]","[3.266955114725103, 3.5770185552455342, 2.77544940290807]","[345.60492987039106, 575.5655504303579, 575.3996981236708]","[399.8795691378981, 2106.3095790022453, 1641.8969102117203]","[311.51421891904056, -1655.2837821678936, -924.2438167582151]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8682362323169828, 0.007852654277086701, 0.00769399193933612]","[0.5848890653375239, 0.5545665955679879, 0.4490909999341893]","[0.077, 0.019, 0.015]","[5.170803385833695, 4.714064335930706, 5.348676205495356]","[3.7536159786311334, 3.7536159786311334, 3.7536159786311334]","[1.7564322961864032, 1.7310823922808374, 2.24045254881339]","[1.4151813649969454, 1.396168937067771, 1.7781965544671856]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.060659,"[2000, 2001, 2002, 2003]","(-345.58758544921875, 181.8468017578125, -148.068359375, 117.2958984375)","(0.3713078200817108, 0.5385354161262512, 0.49038398265838623, 0.32431331276893616)","(0.22652018070220947, 283.8350830078125, -994.45068359375, -997.7315063476562)","(206.43780517578125, 209.1326446533203, -1000.5446166992188, -997.37109375)","[283.621465677321, 1564.029929134919, 1563.6740071319434]","[3.263248153772353, 3.5673106390115157, 2.773966224629108]","[346.1319917265238, 576.095565963341, 575.928841209549]","[399.8433190148997, 2101.9950942114865, 1641.251087829995]","[311.23107730158347, -1646.6839742240854, -913.6605106400178]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8721618303445253, 0.00837102401761669, 0.008206098484451751]","[0.5835840539233905, 0.554033878314438, 0.44843417656340584]","[0.078, 0.019, 0.015]","[5.172074499802434, 4.717387287043721, 5.3515210076730195]","[3.754251535615503, 3.754251535615503, 3.754251535615503]","[1.7573221830857932, 1.7337674319823497, 2.2428573182742615]","[1.4158487801714876, 1.3981827168439052, 1.780000131562839]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.160354,"[2000, 2001, 2002, 2003]","(-346.122314453125, 181.8466796875, -148.6474609375, 117.7138671875)","(0.37179020047187805, 0.538569450378418, 0.49038398265838623, 0.3243129253387451)","(0.2595546543598175, 283.78179931640625, -994.4813232421875, -997.736083984375)","(206.45404052734375, 209.1309356689453, -1000.582275390625, -997.3392944335938)","[283.53498142696736, 1564.1120148268183, 1563.6860301145841]","[3.259510652172476, 3.5574380540026485, 2.77254275181562]","[346.66326049704867, 576.6297505085685, 576.4621452564764]","[399.80230946682514, 2097.529088911489, 1640.635012131487]","[310.9361117315217, -1637.719802586126, -903.3153417480057]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8760683330221468, 0.008911008711641466, 0.008739682389705072]","[0.582225175856389, 0.5534508440041264, 0.44772350258579197]","[0.078, 0.019, 0.015]","[5.173445334133357, 4.720968981087127, 5.354587582139478]","[3.754936952780964, 3.754936952780964, 3.754936952780964]","[1.758282071082679, 1.7366625636046782, 2.245450417615951]","[1.4165686961691522, 1.4003540655606515, 1.7819449560691063]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.260818,"[2000, 2001, 2002, 2003]","(-346.65997314453125, 181.84649658203125, -149.2373046875, 118.1396484375)","(0.37229329347610474, 0.5386037230491638, 0.49038398265838623, 0.3243125379085541)","(0.29347920417785645, 283.7274475097656, -994.5130004882812, -997.740966796875)","(206.4702606201172, 209.12916564941406, -1000.6204223632812, -997.306884765625)","[283.4465396767187, 1564.1956916647478, 1563.6983353247301]","[3.255747839217319, 3.547433048339274, 2.7711667751062317]","[347.1974513038912, 577.1668213282272, 576.9983306671394]","[399.7563460800092, 2092.9242125447854, 1640.0429325018183]","[310.63456944748464, -1628.442306160022, -893.2082082201943]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8799446537436229, 0.009471757949764403, 0.009293906382630834]","[0.5808304204972722, 0.552834305262977, 0.44697340664849744]","[0.078, 0.019, 0.015]","[5.174873863536558, 4.724699274543125, 5.3577817377033]","[3.7556512174825647, 3.7556512174825647, 3.7556512174825647]","[1.7592825664204463, 1.7396789356142015, 2.2481523469805516]","[1.4173190676724776, 1.4026163445677942, 1.7839714030925564]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.360419,"[2000, 2001, 2002, 2003]","(-347.1851806640625, 181.84637451171875, -149.822265625, 118.5615234375)","(0.3728198707103729, 0.538637101650238, 0.49038398265838623, 0.3243121802806854)","(0.3272823691368103, 283.673583984375, -994.544677734375, -997.7460327148438)","(206.48599243164062, 209.12742614746094, -1000.6578369140625, -997.27490234375)","[283.358713440828, 1564.2783494580724, 1563.7106339778127]","[3.2520706125677976, 3.537566133150919, 2.7698977381799494]","[347.719292522928, 577.6914160336805, 577.5220617607673]","[399.7068023586714, 2088.3058592031175, 1639.5005021634558]","[310.32915677537005, -1619.0709857656393, -883.6463816009841]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.883680743788974, 0.010036854631612413, 0.009852542445458301]","[0.5794210570597131, 0.5521817263586388, 0.4461887970853159]","[0.078, 0.019, 0.015]","[5.176367803603895, 4.728598035886247, 5.361120419996093]","[3.7563981875162336, 3.7563981875162336, 3.7563981875162336]","[1.7603291002522332, 1.742832760911948, 2.250977569253231]","[1.4181039680463179, 1.4049817135411038, 1.7860903197970663]","['Overtaking', 'Safe', 'Safe']"
