time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/07/30/14:26:47.259802,"(2000, 2001, 2002, 2003)","(-210.84381103515625, 1.843017578125, -96.001953125, 161.11328125)","(0.5162473917007446, 0.5408574342727661, 0.4903842806816101, 0.3242999315261841)","(297.11407470703125, 57.10161590576172, -993.4832763671875, -999.4103393554688)","(213.90110778808594, 192.18405151367188, -996.443603515625, -994.5485229492188)"
2024/07/30/14:26:47.360466,"(2000, 2001, 2002, 2003)","(-210.18829345703125, 1.843017578125, -96.5859375, 161.53466796875)","(0.5156182646751404, 0.5408574342727661, 0.4903842508792877, 0.32429972290992737)","(297.0740661621094, 57.15567398071289, -993.4722900390625, -999.4359130859375)","(213.93360900878906, 192.185791015625, -996.4913940429688, -994.528564453125)"
2024/07/30/14:26:47.460224,"(2000, 2001, 2002, 2003)","(-209.5384521484375, 1.843017578125, -97.1650390625, 161.95263671875)","(0.5149843096733093, 0.5408574342727661, 0.4903842508792877, 0.32429951429367065)","(297.0341796875, 57.209190368652344, -993.4619140625, -999.4613647460938)","(213.9653778076172, 192.18751525878906, -996.538818359375, -994.5089721679688)"
2024/07/30/14:26:47.559989,"(2000, 2001, 2002, 2003)","(-208.8758544921875, 1.843017578125, -97.7548828125, 162.37841796875)","(0.5143609046936035, 0.5408574342727661, 0.4903842508792877, 0.32429927587509155)","(296.99322509765625, 57.263790130615234, -993.4517822265625, -999.4874267578125)","(213.99734497070312, 192.18927001953125, -996.5873413085938, -994.4891967773438)"
2024/07/30/14:26:47.660273,"(2000, 2001, 2002, 2003)","(-208.22021484375, 1.843017578125, -98.33984375, 162.80029296875)","(0.5137360692024231, 0.5408574342727661, 0.4903842508792877, 0.32429906725883484)","(296.9524230957031, 57.317848205566406, -993.4423217773438, -999.513427734375)","(214.02854919433594, 192.19100952148438, -996.6354370117188, -994.4697875976562)"
2024/07/30/14:26:47.759827,"(2000, 2001, 2002, 2003)","(-207.56634521484375, 1.843017578125, -98.923828125, 163.22216796875)","(0.5131324529647827, 0.5408574342727661, 0.4903842508792877, 0.3242988586425781)","(296.9113464355469, 57.37190246582031, -993.4332885742188, -999.53955078125)","(214.059326171875, 192.1927490234375, -996.6836547851562, -994.4505615234375)"
2024/07/30/14:26:47.860280,"(2000, 2001, 2002, 2003)","(-206.91412353515625, 1.843017578125, -99.5087890625, 163.64404296875)","(0.5125251412391663, 0.5408574342727661, 0.4903842508792877, 0.3242986500263214)","(296.8700256347656, 57.425960540771484, -993.4247436523438, -999.5658569335938)","(214.0896453857422, 192.19448852539062, -996.73193359375, -994.4315185546875)"
2024/07/30/14:26:47.959916,"(2000, 2001, 2002, 2003)","(-206.263427734375, 1.843017578125, -100.0927734375, 164.06591796875)","(0.5119146108627319, 0.5408574342727661, 0.49038422107696533, 0.3242984712123871)","(296.8284606933594, 57.480018615722656, -993.4166870117188, -999.5922241210938)","(214.11952209472656, 192.19622802734375, -996.7803344726562, -994.4127197265625)"
2024/07/30/14:26:48.059762,"(2000, 2001, 2002, 2003)","(-205.6156005859375, 1.843017578125, -100.6767578125, 164.48779296875)","(0.5113236904144287, 0.5408574342727661, 0.49038422107696533, 0.32429826259613037)","(296.7866516113281, 57.53407669067383, -993.4091796875, -999.6187744140625)","(214.14894104003906, 192.19796752929688, -996.8287353515625, -994.3941040039062)"
2024/07/30/14:26:48.160322,"(2000, 2001, 2002, 2003)","(-204.97039794921875, 1.843017578125, -101.26171875, 164.90966796875)","(0.5107336044311523, 0.5408574342727661, 0.49038422107696533, 0.32429805397987366)","(296.74456787109375, 57.588134765625, -993.402099609375, -999.6454467773438)","(214.1779022216797, 192.19970703125, -996.8772583007812, -994.3756713867188)"
2024/07/30/14:26:48.262027,"(2000, 2001, 2002, 2003)","(-204.3291015625, 1.843017578125, -101.845703125, 165.33154296875)","(0.5101616382598877, 0.5408574342727661, 0.49038422107696533, 0.32429784536361694)","(296.7022705078125, 57.64219284057617, -993.3955688476562, -999.6723022460938)","(214.20640563964844, 192.20144653320312, -996.9259033203125, -994.357421875)"
2024/07/30/14:26:48.359876,"(2000, 2001, 2002, 2003)","(-203.69134521484375, 1.843017578125, -102.4306640625, 165.7529296875)","(0.5095948576927185, 0.5408574342727661, 0.49038422107696533, 0.3242976665496826)","(296.6596984863281, 57.696250915527344, -993.3894653320312, -999.69921875)","(214.23443603515625, 192.20318603515625, -996.9745483398438, -994.3394165039062)"
2024/07/30/14:26:48.459890,"(2000, 2001, 2002, 2003)","(-203.05841064453125, 1.843017578125, -103.0146484375, 166.1748046875)","(0.5090452432632446, 0.5408574342727661, 0.49038422107696533, 0.3242974877357483)","(296.6169128417969, 57.750308990478516, -993.3839111328125, -999.726318359375)","(214.2620086669922, 192.20492553710938, -997.0232543945312, -994.321533203125)"
2024/07/30/14:26:48.559947,"(2000, 2001, 2002, 2003)","(-202.42987060546875, 1.843017578125, -103.599609375, 166.5966796875)","(0.5085047483444214, 0.5408574342727661, 0.49038419127464294, 0.3242972791194916)","(296.5738830566406, 57.80436706542969, -993.3788452148438, -999.7535400390625)","(214.2891082763672, 192.2066650390625, -997.072021484375, -994.3038940429688)"
2024/07/30/14:26:48.661110,"(2000, 2001, 2002, 2003)","(-201.80548095703125, 1.843017578125, -104.18359375, 167.0185546875)","(0.5079727172851562, 0.5408574342727661, 0.49038419127464294, 0.32429710030555725)","(296.5306396484375, 57.85842514038086, -993.374267578125, -999.7808837890625)","(214.31573486328125, 192.20840454101562, -997.120849609375, -994.2864990234375)"
2024/07/30/14:26:48.760021,"(2000, 2001, 2002, 2003)","(-201.186279296875, 1.843017578125, -104.7685546875, 167.4404296875)","(0.5074562430381775, 0.5408574342727661, 0.49038419127464294, 0.3242969214916229)","(296.4871520996094, 57.91248321533203, -993.3702392578125, -999.808349609375)","(214.34190368652344, 192.21014404296875, -997.1697387695312, -994.2692260742188)"
2024/07/30/14:26:48.859817,"(2000, 2001, 2002, 2003)","(-200.57196044921875, 1.843017578125, -105.3525390625, 167.8623046875)","(0.506952166557312, 0.5408574342727661, 0.49038419127464294, 0.3242967426776886)","(296.4434509277344, 57.9665412902832, -993.3666381835938, -999.8359375)","(214.3675994873047, 192.21188354492188, -997.2186279296875, -994.252197265625)"
2024/07/30/14:26:48.959869,"(2000, 2001, 2002, 2003)","(-199.96356201171875, 1.843017578125, -105.9365234375, 168.2841796875)","(0.5064627528190613, 0.5408574342727661, 0.49038419127464294, 0.3242965638637543)","(296.3995361328125, 58.020599365234375, -993.3635864257812, -999.8636474609375)","(214.392822265625, 192.213623046875, -997.267578125, -994.2354125976562)"
2024/07/30/14:26:49.060097,"(2000, 2001, 2002, 2003)","(-199.36065673828125, 1.843017578125, -106.521484375, 168.7060546875)","(0.5059892535209656, 0.5408574342727661, 0.49038419127464294, 0.32429638504981995)","(296.35540771484375, 58.07465362548828, -993.3610229492188, -999.8915405273438)","(214.41757202148438, 192.21536254882812, -997.3165893554688, -994.21875)"
2024/07/30/14:26:49.160500,"(2000, 2001, 2002, 2003)","(-198.77008056640625, 1.843017578125, -107.099609375, 169.12353515625)","(0.5055341720581055, 0.5408574342727661, 0.49038419127464294, 0.3242962062358856)","(296.3114929199219, 58.128173828125, -993.3589477539062, -999.919189453125)","(214.44161987304688, 192.2170867919922, -997.3650512695312, -994.2025146484375)"
2024/07/30/14:26:49.260843,"(2000, 2001, 2002, 2003)","(-198.16790771484375, 1.843017578125, -107.6962890625, 169.5537109375)","(0.5050846338272095, 0.5408574342727661, 0.49038419127464294, 0.3242960274219513)","(296.26605224609375, 58.183311462402344, -993.3573608398438, -999.9478759765625)","(214.4658966064453, 192.21885681152344, -997.4150390625, -994.1859741210938)"
2024/07/30/14:26:49.359846,"(2000, 2001, 2002, 2003)","(-197.5888671875, 1.843017578125, -108.2744140625, 169.97119140625)","(0.5046660304069519, 0.5408574342727661, 0.49038416147232056, 0.32429584860801697)","(296.2217712402344, 58.2368278503418, -993.3563232421875, -999.9757690429688)","(214.489013671875, 192.2205810546875, -997.463623046875, -994.1701049804688)"
2024/07/30/14:26:49.460551,"(2000, 2001, 2002, 2003)","(-197.01055908203125, 1.843017578125, -108.859375, 170.39306640625)","(0.5042548775672913, 0.5408574342727661, 0.49038416147232056, 0.32429569959640503)","(296.1768493652344, 58.29088592529297, -993.355712890625, -1000.0040893554688)","(214.5118865966797, 192.22232055664062, -997.5126342773438, -994.1543579101562)"
2024/07/30/14:26:49.560037,"(2000, 2001, 2002, 2003)","(-196.43829345703125, 1.843017578125, -109.443359375, 170.81494140625)","(0.5038644075393677, 0.5408574342727661, 0.49038416147232056, 0.3242955207824707)","(296.1317138671875, 58.34494400024414, -993.3556518554688, -1000.0325317382812)","(214.53431701660156, 192.22406005859375, -997.5616455078125, -994.1387329101562)"
2024/07/30/14:26:49.659914,"(2000, 2001, 2002, 2003)","(-195.873046875, 1.843017578125, -110.02734375, 171.23681640625)","(0.503484845161438, 0.5408574342727661, 0.49038416147232056, 0.32429537177085876)","(296.0863952636719, 58.39900207519531, -993.3560791015625, -1000.0610961914062)","(214.55625915527344, 192.22579956054688, -997.6107177734375, -994.1233520507812)"
2024/07/30/14:26:49.759815,"(2000, 2001, 2002, 2003)","(-195.3087158203125, 1.843017578125, -110.6181640625, 171.6630859375)","(0.5031251311302185, 0.5408574342727661, 0.49038416147232056, 0.32429519295692444)","(296.04046630859375, 58.4536018371582, -993.3569946289062, -1000.0900268554688)","(214.57797241210938, 192.22755432128906, -997.6602172851562, -994.1080322265625)"
2024/07/30/14:26:49.860366,"(2000, 2001, 2002, 2003)","(-194.761474609375, 1.843017578125, -111.1962890625, 172.08056640625)","(0.5027939677238464, 0.5408574342727661, 0.49038416147232056, 0.3242950439453125)","(295.9952392578125, 58.507118225097656, -993.3584594726562, -1000.1185302734375)","(214.59878540039062, 192.22927856445312, -997.708740234375, -994.09326171875)"
2024/07/30/14:26:49.960270,"(2000, 2001, 2002, 2003)","(-194.21563720703125, 1.843017578125, -111.78125, 172.50244140625)","(0.5024682879447937, 0.5408574342727661, 0.49038416147232056, 0.32429489493370056)","(295.94940185546875, 58.56117630004883, -993.3603515625, -1000.1473999023438)","(214.61936950683594, 192.23101806640625, -997.7577514648438, -994.0784912109375)"
2024/07/30/14:26:50.060180,"(2000, 2001, 2002, 2003)","(-193.6761474609375, 1.843017578125, -112.365234375, 172.92431640625)","(0.5021665096282959, 0.5408574342727661, 0.49038416147232056, 0.32429471611976624)","(295.9034118652344, 58.615234375, -993.36279296875, -1000.1763916015625)","(214.63949584960938, 192.23275756835938, -997.8067626953125, -994.06396484375)"
2024/07/30/14:26:50.160660,"(2000, 2001, 2002, 2003)","(-193.14398193359375, 1.843017578125, -112.9501953125, 173.34619140625)","(0.5018723011016846, 0.5408574342727661, 0.49038413166999817, 0.3242945671081543)","(295.85723876953125, 58.66929244995117, -993.36572265625, -1000.2055053710938)","(214.6591796875, 192.2344970703125, -997.855712890625, -994.0496826171875)"
2024/07/30/14:26:50.260020,"(2000, 2001, 2002, 2003)","(-192.61859130859375, 1.843017578125, -113.5341796875, 173.76806640625)","(0.5016046762466431, 0.5408574342727661, 0.49038413166999817, 0.32429441809654236)","(295.8109130859375, 58.72334671020508, -993.369140625, -1000.2346801757812)","(214.67840576171875, 192.23623657226562, -997.9046020507812, -994.0355834960938)"
2024/07/30/14:26:50.360358,"(2000, 2001, 2002, 2003)","(-192.0994873046875, 1.843017578125, -114.1181640625, 174.18994140625)","(0.5013610124588013, 0.5408574342727661, 0.49038413166999817, 0.3242942690849304)","(295.764404296875, 58.77740478515625, -993.373046875, -1000.2639770507812)","(214.6971893310547, 192.23797607421875, -997.9534912109375, -994.0216674804688)"
2024/07/30/14:26:50.460224,"(2000, 2001, 2002, 2003)","(-191.58746337890625, 1.843017578125, -114.703125, 174.611328125)","(0.5011230707168579, 0.5408574342727661, 0.49038413166999817, 0.3242941200733185)","(295.7177734375, 58.83146286010742, -993.3775024414062, -1000.2933959960938)","(214.71554565429688, 192.23971557617188, -998.0023193359375, -994.0079956054688)"
2024/07/30/14:26:50.560356,"(2000, 2001, 2002, 2003)","(-191.08209228515625, 1.843017578125, -115.287109375, 175.033203125)","(0.5009114742279053, 0.5408574342727661, 0.49038413166999817, 0.32429397106170654)","(295.6709899902344, 58.885520935058594, -993.3823852539062, -1000.3229370117188)","(214.7334442138672, 192.241455078125, -998.0510864257812, -993.9945678710938)"
2024/07/30/14:26:50.660171,"(2000, 2001, 2002, 2003)","(-190.584228515625, 1.843017578125, -115.8720703125, 175.455078125)","(0.5007039904594421, 0.5408574342727661, 0.49038413166999817, 0.3242938220500946)","(295.62408447265625, 58.939579010009766, -993.3878173828125, -1000.3525390625)","(214.75091552734375, 192.24319458007812, -998.099853515625, -993.9813232421875)"
2024/07/30/14:26:50.760050,"(2000, 2001, 2002, 2003)","(-190.08843994140625, 1.843017578125, -116.4619140625, 175.88134765625)","(0.5005232691764832, 0.5408574342727661, 0.49038413166999817, 0.32429370284080505)","(295.5765380859375, 58.994178771972656, -993.393798828125, -1000.3825073242188)","(214.76812744140625, 192.2449493408203, -998.1490478515625, -993.9681396484375)"
2024/07/30/14:26:50.860541,"(2000, 2001, 2002, 2003)","(-189.60882568359375, 1.843017578125, -117.041015625, 176.298828125)","(0.500372052192688, 0.5408574342727661, 0.49038413166999817, 0.3242935538291931)","(295.5298156738281, 59.04769515991211, -993.400146484375, -1000.4120483398438)","(214.78457641601562, 192.24667358398438, -998.1971435546875, -993.9555053710938)"
2024/07/30/14:26:50.960194,"(2000, 2001, 2002, 2003)","(-189.131591796875, 1.843017578125, -117.625, 176.720703125)","(0.5002212524414062, 0.5408574342727661, 0.49038413166999817, 0.3242934048175812)","(295.48248291015625, 59.10175323486328, -993.4070434570312, -1000.44189453125)","(214.80075073242188, 192.2484130859375, -998.2457275390625, -993.9429321289062)"
2024/07/30/14:26:51.060208,"(2000, 2001, 2002, 2003)","(-188.65655517578125, 1.843017578125, -118.21484375, 177.146484375)","(0.5000972747802734, 0.5408574342727661, 0.49038413166999817, 0.3242932856082916)","(295.4345397949219, 59.15635299682617, -993.41455078125, -1000.47216796875)","(214.81668090820312, 192.2501678466797, -998.294677734375, -993.930419921875)"
2024/07/30/14:26:51.160336,"(2000, 2001, 2002, 2003)","(-188.19708251953125, 1.843017578125, -118.7939453125, 177.564453125)","(0.5000014901161194, 0.5408574342727661, 0.4903841018676758, 0.3242931365966797)","(295.387451171875, 59.209869384765625, -993.42236328125, -1000.501953125)","(214.83187866210938, 192.25189208984375, -998.3425903320312, -993.9183959960938)"
2024/07/30/14:26:51.260468,"(2000, 2001, 2002, 2003)","(-187.74456787109375, 1.843017578125, -119.3720703125, 177.98193359375)","(0.49990513920783997, 0.5408574342727661, 0.4903841018676758, 0.32429301738739014)","(295.3402099609375, 59.26338577270508, -993.4306640625, -1000.5317993164062)","(214.84666442871094, 192.2536163330078, -998.390380859375, -993.9066162109375)"
2024/07/30/14:26:51.360106,"(2000, 2001, 2002, 2003)","(-187.28973388671875, 1.843017578125, -119.962890625, 178.408203125)","(0.4998346269130707, 0.5408574342727661, 0.4903841018676758, 0.3242928683757782)","(295.2919006347656, 59.31798553466797, -993.4396362304688, -1000.5623779296875)","(214.86134338378906, 192.25537109375, -998.4390869140625, -993.8948364257812)"
2024/07/30/14:26:51.459833,"(2000, 2001, 2002, 2003)","(-186.84552001953125, 1.843017578125, -120.546875, 178.82958984375)","(0.49979114532470703, 0.5408574342727661, 0.4903841018676758, 0.32429274916648865)","(295.24395751953125, 59.372039794921875, -993.4490356445312, -1000.5927124023438)","(214.87545776367188, 192.25711059570312, -998.4872436523438, -993.8833618164062)"
