time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.m_nPacketCode,.m_nShipID,.m_fltHeading,.m_fltDriftangle,.m_fltShipTime,.m_fltRudderAngleFeedPORT,.m_fltRudderAngleFeedSTBD,.m_fltPropellerRPSFeedPORT,.m_fltPropellerRPSFeedSTBD,.m_fltFOGvel_rollx,.m_fltFOGvel_pitchy,.m_fltFOGvel_yawz,.m_fltFOGang_rollx,.m_fltFOGang_pitchy,.m_fltFOGang_yawz,.m_fltFOGvel_yawzG,.m_fltFOGang_yawzG,.m_fltIncl_heelx,.m_fltIncl_trimy,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/08/07/20:54:51.595631,59,5,885190010,ship_info,(),"(1000, 2001, 2002, 2003)","(0.0, 269.981963376082, 180.0, 90.0)",(),(),(),"(-0.0, -0.00033964332132194083, -0.0, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.46325606028553507, 0.5599209224389231, 0.5599209398101982, 0.28684615170621014)","(12.624881087546115, 149.99206515650323, 270.7956424424784, 150.0)","(0.0, 120.79565197033158, 3.576502300397348e-15, -146.10469321302799)"
2024/08/07/20:54:51.695631,60,5,985189676,ship_info,(),"(1000, 2001, 2002, 2003)","(0.0, 269.9820055239683, 180.0, 90.0)",(),(),(),"(-0.0, -0.00037893304189152494, -0.0, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.46646199501311547, 0.5654744630417176, 0.5654744774749214, 0.28684615170621014)","(13.09134308255923, 149.99171086092477, 269.66746831806483, 150.0)","(0.0, 119.66747793182881, 3.714663783431743e-15, -146.10469321302799)"
2024/08/07/20:54:51.795635,61,6,85192680,ship_info,(),"(1000, 2001, 2002, 2003)","(0.0, 269.9820103190822, 180.0, 90.0)",(),(),(),"(-0.0, 0.00024745125072140245, -0.0, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4697362480337659, 0.5709980973696195, 0.5709981092963304, 0.28684615170621014)","(13.561079330592996, 149.99135324644766, 268.5282284438161, 150.0)","(0.0, 118.52823813876435, 3.8541804299777144e-15, -146.10469321302799)"
2024/08/07/20:54:51.895650,62,6,185209274,ship_info,(),"(1000, 2001, 2002, 2003)","(0.0, 269.98199354372434, 180.0, 90.0)",(),(),(),"(-0.0, -6.415784909545337e-05, -0.0, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.47307221001191463, 0.5764656501916051, 0.5764656599940184, 0.28684615170621014)","(14.03415154060491, 149.9909919893376, 267.37802241359583, 150.0)","(0.0, 117.37803218589828, 3.995040043304634e-15, -146.10469321302799)"
2024/08/07/20:54:51.995746,63,6,285225630,ship_info,(),"(1000, 2001, 2002, 2003)","(0.0, 269.9819969909028, 180.0, 90.0)",(),(),(),"(-0.0, -0.0001481477991801295, -0.0, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4764633875748784, 0.5791713266594115, 0.57917133552797, 0.392066197140653)","(14.510614928179788, 149.9908100605575, 266.79885107806786, 150.0)","(0.0, 116.79886088781252, 4.065968075525857e-15, -142.3020260723575)"
2024/08/07/20:54:52.095632,64,6,385203838,ship_info,(),"(1000, 2001, 2002, 2003)","(0.0, 269.9820053909307, 180.0, 90.0)",(),(),(),"(-0.0, 8.536161451837677e-06, -0.0, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4799034174128601, 0.5845144370266891, 0.584514444255652, 0.392066197140653)","(14.990518345592648, 149.9904437304767, 265.6324816437598, 150.0)","(0.0, 115.63249152627387, 4.208807134960728e-15, -142.3020260723575)"
2024/08/07/20:54:52.195715,65,6,485204935,ship_info,(),"(1000, 2001, 2002, 2003)","(0.0, 269.9820014175245, 180.0, 90.0)",(),(),(),"(-0.0, 2.9609510545491474e-05, -0.0, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.48338607972953596, 0.5897531103265711, 0.5897531161860032, 0.392066197140653)","(15.473904425322184, 149.99007407571833, 264.45558079049664, 150.0)","(0.0, 114.45559074343579, 4.352935921246978e-15, -142.3020260723575)"
2024/08/07/20:54:52.295670,66,6,585201263,ship_info,(),"(1000, 2001, 2002, 2003)","(0.0, 269.98200117895635, 180.0, 90.0)",(),(),(),"(-0.0, -3.177419183791893e-05, -0.0, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.48690531095822814, 0.5935447327935879, 0.5935447375524111, 0.392066197140653)","(15.960809736280412, 149.98970171514733, 263.2701692498838, 150.0)","(0.0, 113.27017927134207, 4.498106966135364e-15, -142.3020260723575)"
2024/08/07/20:54:52.395695,67,6,685220241,ship_info,(),"(1000, 2001, 2002, 2003)","(0.0, 269.9820029105005, 180.0, 90.0)",(),(),(),"(-0.0, 2.502443935380026e-06, -0.0, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4904552156668877, 0.5957828809284401, 0.5957828848113128, 0.392066197140653)","(16.451264951947298, 149.98932772937155, 262.07955053152745, 150.0)","(0.0, 112.07956061990109, 4.643915706379367e-15, -142.3020260723575)"
2024/08/07/20:54:52.495604,68,6,785195827,ship_info,(),"(1000, 2001, 2002, 2003)","(0.0, 269.98200204695627, 180.0, 90.0)",(),(),(),"(-0.0, 5.413476275803579e-06, -0.0, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.49403007758388506, 0.5980431702921406, 0.5980431734516934, 0.392066197140653)","(16.945295029531184, 149.98895239436783, 260.88465113319955, 150.0)","(0.0, 110.88466128718665, 4.790248678725906e-15, -142.3020260723575)"
