time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.V_opt,.Collision_cone
2024/08/07/20:54:51.651555,1,0,0,,"(0.949999988079071, -9.877716422579397e-10)","(13.387816429138184, -0.5926687717437744, 77.22545623779297, 69.76183319091797, 85.3041000366211, 61.480255126953125, 12.795310020446777, -1.779836202331353e-05, 147.26040649414062, 3.063758611679077, 147.26132202148438, -3.0237925052642822, 13.388019561767578, 0.30127641558647156, 84.7705078125, -69.01531982421875, 78.1131591796875, -75.2692642211914)"
2024/08/07/20:54:51.750976,2,0,0,,"(0.949999988079071, -4.753723525929843e-10)","(13.781420707702637, -0.5921626687049866, 77.63375091552734, 69.74900817871094, 85.7212142944336, 61.45351791381836, 13.189387321472168, 2.320079511264339e-05, 147.65426635742188, 3.0734071731567383, 147.65518188476562, -3.0332272052764893, 13.781588554382324, 0.30318474769592285, 85.28770446777344, -68.88587188720703, 78.24371337890625, -75.49183654785156)"
2024/08/07/20:54:51.854657,3,0,0,,"(0.949999988079071, 2.1609611322581657e-10)","(14.175155639648438, -0.5918909311294556, 77.704833984375, 69.36688232421875, 85.76078033447266, 61.098854064941406, 13.583385467529297, 3.342253330629319e-05, 147.54815673828125, 3.072159767150879, 147.549072265625, -3.0319671630859375, 14.175312995910645, 0.30525773763656616, 85.468505859375, -68.38448333740234, 78.02550506591797, -75.35287475585938)"
2024/08/07/20:54:51.950743,4,0,0,,"(0.949999988079071, 5.851049089677929e-10)","(14.569225311279297, -0.5918459296226501, 78.11111450195312, 69.3558349609375, 86.18040466308594, 61.06923294067383, 13.977516174316406, 1.577714465383906e-05, 147.4421844482422, 3.0713963508605957, 147.44309997558594, -3.0312488079071045, 14.56939697265625, 0.30709517002105713, 86.03533172607422, -68.2029037475586, 78.10137176513672, -75.61844635009766)"
2024/08/07/20:54:52.049794,5,0,0,,"(0.949999988079071, 4.661757646573506e-10)","(14.963424682617188, -0.5915895700454712, 78.18169403076172, 68.97457122802734, 86.22078704833984, 60.714107513427734, 14.371994972229004, -8.442261787422467e-06, 147.33656311035156, 3.070038318634033, 147.3374786376953, -3.0299580097198486, 14.963618278503418, 0.3087083697319031, 86.26805114746094, -67.6466293334961, 77.82600402832031, -75.5238037109375)"
2024/08/07/20:54:52.152883,6,0,0,,"(0.949999988079071, 6.200271546186187e-11)","(15.357976913452148, -0.5911351442337036, 78.25112915039062, 68.59485626220703, 86.26229858398438, 60.358245849609375, 14.767012596130371, -1.9929664631490596e-05, 147.23146057128906, 3.069197416305542, 147.2323760986328, -3.0291666984558105, 15.358179092407227, 0.31048357486724854, 86.89278411865234, -67.40251159667969, 77.83548736572266, -75.83960723876953)"
2024/08/07/20:54:52.254686,7,0,0,,"(0.949999988079071, -2.751517902410683e-10)","(15.753084182739258, -0.5909132361412048, 78.6560287475586, 68.58617401123047, 86.68445587158203, 60.32698440551758, 15.162339210510254, -1.4095909136813134e-05, 147.1266632080078, 3.0688743591308594, 147.12757873535156, -3.0288596153259277, 15.75328254699707, 0.3124226927757263, 87.5494384765625, -67.1231918334961, 77.80760192871094, -76.18274688720703)"
2024/08/07/20:54:52.351451,8,0,0,,"(0.949999988079071, -3.376809942778891e-10)","(16.148937225341797, -0.5909162759780884, 78.72391510009766, 68.2085952758789, 86.72895812988281, 59.96864700317383, 15.558178901672363, -1.903234192468517e-07, 147.02235412597656, 3.069054126739502, 147.02328491210938, -3.0290355682373047, 16.149124145507812, 0.31452733278274536, 87.87007141113281, -66.46949005126953, 77.43143463134766, -76.16082000732422)"
2024/08/07/20:54:52.450851,9,0,0,,"(0.949999988079071, -1.608024546850828e-10)","(16.545278549194336, -0.591136634349823, 79.12918853759766, 68.20024108886719, 87.15289306640625, 59.93625259399414, 15.954292297363281, 9.178806067211553e-06, 147.418212890625, 3.080313205718994, 147.4191436767578, -3.0401430130004883, 16.545455932617188, 0.31679874658584595, 88.57564544677734, -66.1335678100586, 77.34427642822266, -76.54348754882812)"
2024/08/07/20:54:52.549832,10,0,0,,"(0.949999988079071, 7.546337166264294e-11)","(16.941869735717773, -0.5915665626525879, 79.19882202148438, 67.8213119506836, 87.19706726074219, 59.57866668701172, 16.35045623779297, 8.78947594173951e-06, 147.3142547607422, 3.079298973083496, 147.31520080566406, -3.03914737701416, 16.942047119140625, 0.31923794746398926, 88.91722869873047, -65.45175170898438, 76.94042205810547, -76.53416442871094)"
2024/08/07/20:54:52.650515,11,0,0,,"(0.949999988079071, 1.996601217690852e-10)","(17.338916778564453, -0.5921983122825623, 79.2677230834961, 67.4432601928711, 87.24266052246094, 59.2197265625, 16.746877670288086, 2.1378107248892775e-06, 147.21055603027344, 3.078793525695801, 147.2115020751953, -3.0386743545532227, 17.339101791381836, 0.32184556126594543, 89.60907745361328, -65.12508392333984, 76.86434936523438, -76.89859008789062)"
2024/08/07/20:54:52.751989,12,0,0,,"(0.949999988079071, 1.5692519506060876e-10)","(17.73662567138672, -0.5925746560096741, 79.67257690429688, 67.43637084960938, 87.66984558105469, 59.18488693237305, 17.144216537475586, -4.182058091828367e-06, 147.10775756835938, 3.078788995742798, 147.10870361328125, -3.0387043952941895, 17.736814498901367, 0.32462191581726074, 90.25084686279297, -64.85179138183594, 76.84591674804688, -77.21481323242188)"
2024/08/07/20:54:52.850945,13,0,0,,"(0.949999988079071, 1.8427082776328874e-11)","(18.135190963745117, -0.59271240234375, 79.74029541015625, 67.06126403808594, 87.71873474121094, 58.82429504394531, 17.542648315429688, -5.713431164622307e-06, 147.0060272216797, 3.0792765617370605, 147.00697326660156, -3.0392184257507324, 18.13538360595703, 0.3275669813156128, 90.43287658691406, -64.34137725830078, 76.62979888916016, -77.05074310302734)"
2024/08/07/20:54:52.954944,14,0,0,,"(0.949999988079071, -9.507448994749979e-11)","(18.53480339050293, -0.5930627584457397, 80.14434051513672, 67.056884765625, 88.14982604980469, 58.78705978393555, 17.941909790039062, -2.721880036915536e-06, 146.90513610839844, 3.080247402191162, 146.9060821533203, -3.0402064323425293, 18.534992218017578, 0.33068034052848816, 90.86967468261719, -64.29666137695312, 76.85885620117188, -77.17626953125)"
2024/08/07/20:54:53.056988,15,0,0,,"(0.949999988079071, -1.1401964788992913e-10)","(18.935644149780273, -0.5936179757118225, 80.21160125732422, 66.68384552001953, 88.20263671875, 58.424041748046875, 18.342191696166992, 1.2601213938978617e-06, 146.80523681640625, 3.081688404083252, 146.80618286132812, -3.041661262512207, 18.935829162597656, 0.3339613080024719, 90.80467224121094, -64.06417846679688, 76.94551849365234, -76.78365325927734)"
2024/08/07/20:54:53.153507,16,0,0,,"(0.949999988079071, -5.2405912942532495e-11)","(19.337430953979492, -0.5943701267242432, 80.28038024902344, 66.31008911132812, 88.25564575195312, 58.06166076660156, 18.743227005004883, 3.0430978767981287e-06, 147.20596313476562, 3.0944724082946777, 147.20692443847656, -3.0543057918548584, 19.337615966796875, 0.33740875124931335, 90.9936294555664, -64.29745483398438, 77.4773941040039, -76.68217468261719)"
2024/08/07/20:54:53.248243,17,0,0,,"(0.949999988079071, 2.7419132936357116e-11)","(19.739904403686523, -0.5948582887649536, 80.68707275390625, 66.3057632446289, 88.68959045410156, 58.02417755126953, 19.145214080810547, 2.065306944132317e-06, 147.10780334472656, 3.094602584838867, 147.1087646484375, -3.054457664489746, 19.740089416503906, 0.34102120995521545, 90.72380828857422, -64.29110717773438, 77.8136978149414, -76.10148620605469)"
2024/08/07/20:54:53.350001,18,0,0,,"(0.949999988079071, 6.760333959299203e-11)","(20.143259048461914, -0.5951001644134521, 80.75656127929688, 65.93329620361328, 88.74440002441406, 57.66194534301758, 19.548328399658203, -8.311555177442642e-08, 147.01075744628906, 3.0952184200286865, 147.01171875, -3.055098056793213, 20.14344596862793, 0.3447968661785126, 90.77365112304688, -64.6734619140625, 78.51229095458984, -75.87251281738281)"
2024/08/07/20:54:53.454344,19,0,0,,"(0.949999988079071, 5.1192126926391524e-11)","(20.54768180847168, -0.5955508947372437, 80.82576751708984, 65.56185150146484, 88.80101776123047, 57.29859161376953, 19.952302932739258, -1.5151666730162106e-06, 146.91455078125, 3.0963120460510254, 146.91552734375, -3.056215763092041, 20.547870635986328, 0.34873348474502563, 90.80339813232422, -65.07421112060547, 79.23417663574219, -75.62440490722656)"
2024/08/07/20:54:53.554222,20,0,0,,"(0.949999988079071, 3.9743651078505415e-12)","(20.953359603881836, -0.5962026119232178, 81.2316665649414, 65.56099700927734, 89.2411117553711, 57.257347106933594, 20.357330322265625, -1.4043688452147762e-06, 146.81939697265625, 3.097874402999878, 146.82037353515625, -3.0577988624572754, 20.953548431396484, 0.3528285026550293, 90.4719009399414, -65.12578582763672, 79.64553833007812, -74.98308563232422)"
2024/08/07/20:54:53.654090,21,0,0,,"(0.949999988079071, -3.302537063265554e-11)","(21.3604679107666, -0.5965967178344727, 81.30085754394531, 65.19207763671875, 89.30191802978516, 56.892181396484375, 20.7640438079834, -2.709941782086389e-07, 146.7259063720703, 3.0998880863189697, 146.7268829345703, -3.059831142425537, 21.360654830932617, 0.35707899928092957, 90.52313232421875, -65.497314453125, 80.34375762939453, -74.75113677978516)"
2024/08/07/20:54:53.753047,22,0,0,,"(0.949999988079071, -3.754713207015925e-11)","(21.768714904785156, -0.5967504978179932, 81.70836639404297, 65.19259643554688, 89.7447509765625, 56.85112762451172, 21.172136306762695, 7.318972734537965e-07, 146.63381958007812, 3.1011664867401123, 146.63479614257812, -3.0611279010772705, 21.768901824951172, 0.3614816665649414, 90.2372055053711, -65.4951171875, 80.70591735839844, -74.14642333984375)"
2024/08/07/20:54:53.851456,23,0,0,,"(0.949999988079071, -1.5863943839122818e-11)","(22.17827796936035, -0.5971165299415588, 81.77909088134766, 64.82453918457031, 89.80780029296875, 56.48613357543945, 21.581335067749023, 9.230029149875918e-07, 146.54281616210938, 3.102900743484497, 146.54380798339844, -3.0628817081451416, 22.178464889526367, 0.36603283882141113, 90.34074401855469, -65.8072509765625, 81.34735870361328, -73.9578628540039)"
2024/08/07/20:54:53.951145,24,0,0,,"(0.949999988079071, 1.0471179479054626e-11)","(22.589336395263672, -0.5976867079734802, 81.84999084472656, 64.45748138427734, 89.8729248046875, 56.12019729614258, 21.991823196411133, 4.3436432406451786e-07, 146.95294189453125, 3.117549419403076, 146.9539337158203, -3.077390670776367, 22.589523315429688, 0.3707284927368164, 90.11456298828125, -65.73992156982422, 81.64759826660156, -73.40184783935547)"
2024/08/07/20:54:54.052005,25,0,0,,"(0.949999988079071, 2.2530966675704533e-11)","(23.002056121826172, -0.5980045795440674, 82.25786590576172, 64.46157836914062, 90.32264709472656, 56.07596206665039, 22.40422821044922, -1.7199209878526744e-07, 146.86512756347656, 3.120216131210327, 146.86611938476562, -3.080077886581421, 23.002243041992188, 0.375564306974411, 90.27336883544922, -65.99344635009766, 82.23292541503906, -73.25850677490234)"
2024/08/07/20:54:54.151377,26,0,0,,"(0.949999988079071, 1.5810974057783866e-11)","(23.41613006591797, -0.5980868935585022, 82.33088684082031, 64.09581756591797, 90.39025115966797, 55.71103286743164, 22.818220138549805, -4.2316250414842216e-07, 146.77891540527344, 3.1221084594726562, 146.7799072265625, -3.0819902420043945, 23.416318893432617, 0.3805356025695801, 90.10076141357422, -65.87039184570312, 82.48108673095703, -72.74506378173828)"
2024/08/07/20:54:54.252903,27,0,0,,"(0.949999988079071, -6.014031503701056e-14)","(23.831262588500977, -0.5983841419219971, 82.74214935302734, 64.09904479980469, 90.84085083007812, 55.66852569580078, 23.233064651489258, -2.407179238161916e-07, 146.6935577392578, 3.1232779026031494, 146.69456481933594, -3.0831785202026367, 23.831459045410156, 0.3856373429298401, 90.30536651611328, -66.07653045654297, 83.02186584472656, -72.63829803466797)"
2024/08/07/20:54:54.351537,28,0,0,,"(0.949999988079071, -1.1469591769397436e-11)","(24.247636795043945, -0.5988882780075073, 82.81674194335938, 63.73352813720703, 90.91058349609375, 55.30327224731445, 23.64894676208496, 1.1300556224114189e-07, 146.6092529296875, 3.124908924102783, 146.61026000976562, -3.0848278999328613, 24.247844696044922, 0.3908642828464508, 90.53034210205078, -66.26219940185547, 83.54354095458984, -72.547607421875)"
2024/08/07/20:54:54.452689,29,0,0,,"(0.949999988079071, -1.1877132090332143e-11)","(24.665447235107422, -0.5991442799568176, 82.89146423339844, 63.369449615478516, 90.98220825195312, 54.93766403198242, 24.06650161743164, 3.247470203859848e-07, 146.52658081054688, 3.126983404159546, 146.52760314941406, -3.086920976638794, 24.6656551361084, 0.39621081948280334, 90.42203521728516, -66.07444763183594, 83.73300170898438, -72.08342742919922)"
2024/08/07/20:54:54.550171,30,0,0,,"(0.949999988079071, -4.229205527450652e-12)","(25.08485984802246, -0.5991687178611755, 83.30297088623047, 63.37662124633789, 91.43929290771484, 54.89262771606445, 24.485883712768555, 2.882140393012378e-07, 146.44573974609375, 3.129483938217163, 146.44676208496094, -3.089440107345581, 25.085060119628906, 0.40167108178138733, 90.68280792236328, -66.22554779052734, 84.22406768798828, -72.01951599121094)"
2024/08/07/20:54:54.652806,31,0,0,,"(0.949999988079071, 4.121814001223356e-12)","(25.50602912902832, -0.5994102954864502, 83.3783950805664, 63.01496887207031, 91.51506805419922, 54.525962829589844, 24.90680503845215, 1.1267639621337366e-07, 146.36642456054688, 3.1323981285095215, 146.36744689941406, -3.0923731327056885, 25.506223678588867, 0.4072389602661133, 90.6085433959961, -66.00577545166016, 84.38687896728516, -71.579345703125)"
2024/08/07/20:54:54.757019,32,0,0,,"(0.949999988079071, 7.305145204028474e-12)","(25.928634643554688, -0.5998608469963074, 83.45592498779297, 62.652496337890625, 91.59110260009766, 54.16043472290039, 25.32895851135254, -3.441047269348019e-08, 146.28834533691406, 3.134528160095215, 146.2893829345703, -3.094521999359131, 25.9288272857666, 0.4129081666469574, 90.89755249023438, -66.13079833984375, 84.85665130615234, -71.53507232666016)"
2024/08/07/20:54:54.851145,33,0,0,,"(0.949999988079071, 4.503936286426313e-12)","(26.352378845214844, -0.6000667810440063, 83.87158203125, 62.659645080566406, 92.0513916015625, 54.11638259887695, 25.752500534057617, -5.480901066334809e-08, 146.71151733398438, 3.1489334106445312, 146.71255493164062, -3.1087799072265625, 26.352575302124023, 0.4186720848083496, 90.8492431640625, -65.88690185546875, 85.00106048583984, -71.11177825927734)"
2024/08/07/20:54:54.953629,34,0,0,,"(0.949999988079071, -6.760920490990474e-13)","(26.777442932128906, -0.6000442504882812, 83.95088958740234, 62.29825973510742, 92.12932586669922, 53.75187301635742, 26.17759132385254, 2.9408335322500534e-08, 146.6363983154297, 3.150831699371338, 146.63743591308594, -3.1106956005096436, 26.77764320373535, 0.4245240390300751, 91.1615219116211, -65.9905776977539, 85.45436096191406, -71.08277130126953)"
2024/08/07/20:54:55.050897,35,0,0,,"(0.949999988079071, -3.916166869954996e-12)","(27.204004287719727, -0.6002407670021057, 84.03050231933594, 61.937740325927734, 92.20906829833984, 53.386714935302734, 26.603960037231445, 1.2377606140034914e-07, 146.56253051757812, 3.153163194656372, 146.56356811523438, -3.113044500350952, 27.204206466674805, 0.43045711517333984, 91.1367416381836, -65.72565460205078, 85.58378601074219, -70.67386627197266)"
2024/08/07/20:54:55.150149,36,0,0,,"(0.949999988079071, -3.543220838259087e-12)","(27.632230758666992, -0.6006479263305664, 84.44682312011719, 61.948150634765625, 92.67562866210938, 53.34011459350586, 27.031776428222656, 1.5643460926639818e-07, 146.49009704589844, 3.1559152603149414, 146.49114990234375, -3.1158134937286377, 27.632431030273438, 0.435871958732605, 91.46922302246094, -65.81262969970703, 86.0250473022461, -70.65774536132812)"
2024/08/07/20:54:55.254282,37,0,0,,"(0.949999988079071, -8.980034055770802e-13)","(28.062278747558594, -0.6008132696151733, 84.52755737304688, 61.58980178833008, 92.75948333740234, 52.97410202026367, 27.461658477783203, 1.242668048462292e-07, 146.4197235107422, 3.1590685844421387, 146.4207763671875, -3.1189839839935303, 28.062477111816406, 0.4413740038871765, 91.46395111083984, -65.53213500976562, 86.1445083618164, -70.26030731201172)"
2024/08/07/20:54:55.354213,38,0,0,,"(0.949999988079071, 1.5964119132530485e-12)","(28.49382209777832, -0.6007527709007263, 84.94650268554688, 61.601295471191406, 93.22872924804688, 52.9286003112793, 27.893260955810547, 7.133280632842798e-08, 146.35108947753906, 3.161419153213501, 146.35214233398438, -3.121351480484009, 28.494020462036133, 0.44695669412612915, 91.81268310546875, -65.60603332519531, 86.5782241821289, -70.25293731689453)"
2024/08/07/20:54:55.450809,39,0,0,,"(0.949999988079071, 2.2624623528810783e-12)","(28.926555633544922, -0.6009126901626587, 85.03124237060547, 61.24174499511719, 93.31285858154297, 52.565372467041016, 28.325834274291992, 4.2050963600104296e-08, 146.28343200683594, 3.1630215644836426, 146.2845001220703, -3.1229708194732666, 28.926753997802734, 0.4526132047176361, 91.82237243652344, -65.31319427490234, 86.69164276123047, -69.86251831054688)"
2024/08/07/20:54:55.554646,40,0,0,,"(0.949999988079071, 1.134342619835138e-12)","(29.360654830932617, -0.6012847423553467, 85.11627960205078, 60.8829460144043, 93.39869689941406, 52.20145797729492, 28.759563446044922, 5.068667618957079e-08, 146.21693420410156, 3.165064573287964, 146.21800231933594, -3.125030517578125, 29.360855102539062, 0.4583366811275482, 91.83995056152344, -65.0138931274414, 86.80194091796875, -69.47571563720703)"
2024/08/07/20:54:55.650047,41,0,0,,"(0.949999988079071, -4.752749300888925e-13)","(29.796293258666992, -0.6014172434806824, 85.5375747680664, 60.895816802978516, 93.87223052978516, 52.155330657958984, 29.195070266723633, 7.976989735425377e-08, 146.15219116210938, 3.1675291061401367, 146.15325927734375, -3.127511739730835, 29.796493530273438, 0.46412017941474915, 92.20983123779297, -65.07080078125, 87.22714233398438, -69.47850036621094)"
2024/08/07/20:54:55.750754,42,0,0,,"(0.949999988079071, -1.28444986851467e-12)","(30.2331600189209, -0.6013259887695312, 85.62493133544922, 60.537872314453125, 93.95988464355469, 51.79289627075195, 29.632028579711914, 1.0127564564754721e-07, 146.0889129638672, 3.169236183166504, 146.08999633789062, -3.12923526763916, 30.233360290527344, 0.4699566662311554, 92.24059295654297, -64.76119232177734, 87.33365631103516, -69.09696197509766)"
2024/08/07/20:54:55.853030,43,0,0,,"(0.949999988079071, -9.705675933086022e-13)","(30.67096710205078, -0.601456344127655, 85.71393585205078, 60.17906188964844, 94.04737854003906, 51.431514739990234, 30.069705963134766, 1.0211081757915963e-07, 146.52618408203125, 3.183901786804199, 146.52728271484375, -3.143744945526123, 30.671167373657227, 0.475249707698822, 92.6208724975586, -64.81053924560547, 87.75603485107422, -69.10432434082031)"
2024/08/07/20:54:55.958181,44,0,0,,"(0.949999988079071, -9.135978784472268e-14)","(31.109899520874023, -0.6017999649047852, 86.13860321044922, 60.19163131713867, 94.52305603027344, 51.386390686035156, 30.5082950592041, 8.860904898710942e-08, 146.4645538330078, 3.185425043106079, 146.4656524658203, -3.1452836990356445, 31.11009979248047, 0.48003241419792175, 92.66242218017578, -64.4935073852539, 87.85950469970703, -68.72802734375)"
2024/08/07/20:54:56.050232,45,0,0,,"(0.949999988079071, 5.906386491005833e-13)","(31.550134658813477, -0.601905882358551, 86.22793579101562, 59.83474349975586, 94.6137924194336, 51.02391052246094, 30.94842529296875, 7.488959852253174e-08, 146.40443420410156, 3.1873884201049805, 146.40553283691406, -3.1472625732421875, 31.550334930419922, 0.48489466309547424, 93.05316162109375, -64.53550720214844, 88.2786636352539, -68.74043273925781)"
2024/08/07/20:54:56.153368,46,0,0,,"(0.949999988079071, 6.55292497781651e-13)","(31.991844177246094, -0.6017897129058838, 86.3177261352539, 59.478981018066406, 94.70603942871094, 50.66154861450195, 31.390249252319336, 7.096595311395504e-08, 146.34600830078125, 3.189772844314575, 146.34710693359375, -3.149662494659424, 31.992042541503906, 0.48982998728752136, 93.10550689697266, -64.2105941772461, 88.37999725341797, -68.36798858642578)"
2024/08/07/20:54:56.252239,47,0,0,,"(0.949999988079071, 2.2823965482345054e-13)","(32.43471908569336, -0.6018961668014526, 86.74471282958984, 59.49323654174805, 95.18553161621094, 50.616607666015625, 31.833019256591797, 7.679572178176386e-08, 146.2885284423828, 3.191410541534424, 146.28964233398438, -3.151315450668335, 32.43491744995117, 0.49426841735839844, 93.50501251220703, -64.2470932006836, 88.79794311523438, -68.38394927978516)"
2024/08/07/20:54:56.352197,48,0,0,,"(0.949999988079071, -2.3733190976718554e-13)","(32.878475189208984, -0.6022167801856995, 86.83799743652344, 59.135711669921875, 95.27776336669922, 50.25620651245117, 32.27645492553711, 8.509601912010112e-08, 146.23175048828125, 3.192352771759033, 146.2328643798828, -3.1522727012634277, 32.87867736816406, 0.49879002571105957, 93.56497955322266, -63.91722106933594, 88.89898681640625, -68.0137939453125)"
2024/08/07/20:54:56.451236,49,0,0,,"(0.949999988079071, -3.98491894863795e-13)","(33.323299407958984, -0.6023011207580566, 86.931396484375, 58.77927780151367, 95.3713150024414, 49.895660400390625, 32.721195220947266, 8.899140624407664e-08, 146.17625427246094, 3.193751335144043, 146.1773681640625, -3.1536865234375, 33.32350158691406, 0.503388524055481, 93.62952423095703, -63.58392333984375, 88.99939727783203, -67.64493560791016)"
2024/08/07/20:54:56.552302,50,0,0,,"(0.949999988079071, -2.364881294264487e-13)","(33.769371032714844, -0.6021648645401001, 87.36003112792969, 58.79515075683594, 95.85421752929688, 49.85050582885742, 33.16740036010742, 8.712073906735895e-08, 146.12220764160156, 3.195587396621704, 146.1233367919922, -3.1555376052856445, 33.769569396972656, 0.5080574750900269, 94.0410385131836, -63.611751556396484, 89.41567993164062, -67.66458892822266)"
2024/08/07/20:54:56.649683,51,0,0,,"(0.949999988079071, 3.965716779486331e-14)","(34.21639633178711, -0.6022518873214722, 87.45535278320312, 58.43894958496094, 95.9490966796875, 49.49089431762695, 33.61433792114258, 8.273578799844472e-08, 146.06890869140625, 3.1967124938964844, 146.07003784179688, -3.156677722930908, 34.21659469604492, 0.5127905607223511, 94.11333465576172, -63.27302932739258, 89.51609802246094, -67.29734802246094)"
2024/08/07/20:54:56.751833,52,0,0,,"(0.949999988079071, 2.040867475017194e-13)","(34.664100646972656, -0.6025538444519043, 87.8868408203125, 58.45326232910156, 96.43221282958984, 49.44691848754883, 34.06174087524414, 7.974966109713932e-08, 146.01609802246094, 3.1971752643585205, 146.01724243164062, -3.1571555137634277, 34.66429901123047, 0.5170234441757202, 94.53070068359375, -63.297271728515625, 89.93260955810547, -67.31854248046875)"
2024/08/07/20:54:56.851908,53,0,0,,"(0.949999988079071, 1.7328915808811213e-13)","(35.11267852783203, -0.6026207804679871, 87.98345184326172, 58.09730529785156, 96.52825164794922, 49.08769607543945, 34.51025390625, 7.991619099811942e-08, 145.96438598632812, 3.1981077194213867, 145.96551513671875, -3.1581027507781982, 35.112876892089844, 0.5207884907722473, 94.60942077636719, -62.95488357543945, 90.03275299072266, -66.95370483398438)"
2024/08/07/20:54:56.949260,54,0,0,,"(0.949999988079071, 2.478572902475662e-14)","(35.56231689453125, -0.6024682521820068, 88.08020782470703, 57.74237823486328, 96.62545776367188, 48.728485107421875, 34.960044860839844, 8.218659530712102e-08, 145.91392517089844, 3.199490547180176, 145.91506958007812, -3.1595003604888916, 35.56251525878906, 0.5246469378471375, 95.03359985351562, -62.97488021850586, 90.44822692871094, -66.9776382446289)"
2024/08/07/20:54:57.051656,55,0,0,,"(0.949999988079071, -9.810994247919091e-14)","(36.012733459472656, -0.602539598941803, 88.51290893554688, 57.758243560791016, 97.11151885986328, 48.68425369262695, 35.4103889465332, 8.420648356377569e-08, 146.36383056640625, 3.214672565460205, 146.364990234375, -3.174516201019287, 36.01293182373047, 0.5285925269126892, 95.11847686767578, -62.628231048583984, 90.54869079589844, -66.61380004882812)"
2024/08/07/20:54:57.154582,56,0,0,,"(0.949999988079071, -1.149853324534933e-13)","(36.46366500854492, -0.6028265357017517, 88.61236572265625, 57.40159606933594, 97.20832061767578, 48.32658004760742, 35.86103439331055, 8.458863476334955e-08, 146.3142547607422, 3.2148044109344482, 146.31541442871094, -3.1746623516082764, 36.463863372802734, 0.5320825576782227, 95.20561981201172, -62.2803840637207, 90.64954376220703, -66.25048828125)"
2024/08/07/20:54:57.254379,57,0,0,,"(0.949999988079071, -4.7483775944415565e-14)","(36.91532516479492, -0.6028794050216675, 88.71165466308594, 57.04597091674805, 97.30619049072266, 47.96865463256836, 36.31262969970703, 8.36033109408163e-08, 146.265625, 3.215419292449951, 146.26678466796875, -3.175291061401367, 36.91551208496094, 0.5351468920707703, 95.63714599609375, -62.2961311340332, 91.0649185180664, -66.27684020996094)"
2024/08/07/20:54:57.354505,58,0,0,,"(0.949999988079071, 3.2063239595921805e-14)","(37.367889404296875, -0.6027136445045471, 89.14503479003906, 57.06336975097656, 97.7949447631836, 47.92378234863281, 36.765350341796875, 8.239317139668856e-08, 146.2180938720703, 3.2164976596832275, 146.21926879882812, -3.1763834953308105, 37.368064880371094, 0.5383251905441284, 95.73023223876953, -61.94453048706055, 91.1651840209961, -65.91557312011719)"
2024/08/07/20:54:57.453118,59,0,0,,"(0.949999988079071, 6.454836936221203e-14)","(37.821529388427734, -0.6027722954750061, 89.24449920654297, 56.7093391418457, 97.89527893066406, 47.56510543823242, 37.21893310546875, 8.190091449478132e-08, 146.17141723632812, 3.2180261611938477, 146.17259216308594, -3.1779260635375977, 37.82170867919922, 0.5416111946105957, 96.1677017211914, -61.95634841918945, 91.57996368408203, -65.9437255859375)"
2024/08/07/20:54:57.553500,60,0,0,,"(0.949999988079071, 4.039546542861268e-14)","(38.275970458984375, -0.6030470728874207, 89.3455810546875, 56.354347229003906, 97.9953842163086, 47.20743179321289, 37.67311096191406, 8.227098646784725e-08, 146.12535095214844, 3.218870162963867, 146.1265411376953, -3.178783655166626, 38.276161193847656, 0.5449985861778259, 96.26603698730469, -61.60139465332031, 91.68098449707031, -65.58309173583984)"
