time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.DCPA,.TCPA,.UDCPA,.UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/08/07/20:54:51.651525,1,0,0,,"(269.6131286621094, 381.7169494628906, 276.1656188964844)","(240.3899383544922, 241.57086181640625, 315.53955078125)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.9228163361549377, 0.9559348225593567, 0.5610544681549072)","(0.5467917323112488, 0.4608736038208008, 0.31186845898628235)","(0.07999999821186066, 0.07900000363588333, 0.04800000041723251)","(4.754315376281738, 7.384515285491943, 6.3659467697143555)","(3.9482357501983643, 3.9482357501983643, 3.9482357501983643)","(3.8185856342315674, 2.0365357398986816, 2.447812557220459)","(2.961796283721924, 1.6252589225769043, 1.9337165355682373)","['Starboard crossing', 'Head-on', 'Port crossing']"
2024/08/07/20:54:51.750966,2,0,0,,"(268.7597961425781, 380.5067138671875, 275.6950378417969)","(239.76202392578125, 240.92591857910156, 314.6257629394531)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.9229161739349365, 0.9559349417686462, 0.5605475306510925)","(0.5465060472488403, 0.46058130264282227, 0.3137522339820862)","(0.07999999821186066, 0.07900000363588333, 0.04800000041723251)","(4.754193305969238, 7.3829450607299805, 6.3657941818237305)","(3.9481747150421143, 3.9481747150421143, 3.9481747150421143)","(3.8184237480163574, 2.0364456176757812, 2.447700023651123)","(2.961674928665161, 1.625191330909729, 1.9336321353912354)","['Starboard crossing', 'Head-on', 'Port crossing']"
2024/08/07/20:54:51.854640,3,0,0,,"(267.9068908691406, 379.296630859375, 275.2238464355469)","(239.03414916992188, 240.1851043701172, 313.5773620605469)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.9230160117149353, 0.9559351205825806, 0.5600426197052002)","(0.5462191700935364, 0.460288941860199, 0.31567418575286865)","(0.07999999821186066, 0.07900000363588333, 0.04800000041723251)","(4.754453182220459, 7.382122039794922, 6.366241931915283)","(3.9483540058135986, 3.9483540058135986, 3.9483540058135986)","(3.8189826011657715, 2.036710262298584, 2.448030710220337)","(2.9620940685272217, 1.625389814376831, 1.933880090713501)","['Starboard crossing', 'Head-on', 'Port crossing']"
2024/08/07/20:54:51.950718,4,0,0,,"(267.0539245605469, 378.08612060546875, 274.7297668457031)","(238.20938110351562, 239.3513946533203, 312.4490966796875)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.9231159090995789, 0.9559352397918701, 0.5595386028289795)","(0.545929491519928, 0.4599880278110504, 0.317247599363327)","(0.07999999821186066, 0.07900000363588333, 0.04800000041723251)","(4.755087375640869, 7.382022857666016, 6.367278099060059)","(3.948768377304077, 3.948768377304077, 3.948768377304077)","(3.8202474117279053, 2.037322521209717, 2.448795795440674)","(2.9630424976348877, 1.6258490085601807, 1.934454083442688)","['Starboard crossing', 'Head-on', 'Port crossing']"
2024/08/07/20:54:52.049746,5,0,0,,"(266.2007751464844, 376.8757629394531, 274.22821044921875)","(237.475341796875, 238.61126708984375, 311.46484375)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.923215925693512, 0.9559353590011597, 0.5590356588363647)","(0.5456667542457581, 0.4597170054912567, 0.3187272548675537)","(0.07999999821186066, 0.07900000363588333, 0.04800000041723251)","(4.755340099334717, 7.381246089935303, 6.367668628692627)","(3.9489247798919678, 3.9489247798919678, 3.9489247798919678)","(3.8207130432128906, 2.037553310394287, 2.449084520339966)","(2.9633920192718506, 1.626022219657898, 1.9346705675125122)","['Starboard crossing', 'Head-on', 'Port crossing']"
2024/08/07/20:54:52.152859,6,0,0,,"(265.3511657714844, 375.66558837890625, 273.726318359375)","(236.75311279296875, 237.8695526123047, 310.3520202636719)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.9233154654502869, 0.9559354782104492, 0.5585336089134216)","(0.545128583908081, 0.45916882157325745, 0.32024282217025757)","(0.07999999821186066, 0.07900000363588333, 0.04800000041723251)","(4.755936622619629, 7.379887580871582, 6.368649005889893)","(3.9493167400360107, 3.9493167400360107, 3.9493167400360107)","(3.8219122886657715, 2.038132667541504, 2.4498085975646973)","(2.9642913341522217, 1.626456618309021, 1.9352136850357056)","['Starboard crossing', 'Head-on', 'Port crossing']"
2024/08/07/20:54:52.254733,7,0,0,,"(264.50103759765625, 374.4549560546875, 273.2237854003906)","(235.9412384033203, 237.03543090820312, 309.11376953125)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.9234146475791931, 0.9559355974197388, 0.5580323338508606)","(0.5445945858955383, 0.458621621131897, 0.3217965364456177)","(0.07999999821186066, 0.07900000363588333, 0.04800000041723251)","(4.756866931915283, 7.379271507263184, 6.370205402374268)","(3.949939250946045, 3.949939250946045, 3.949939250946045)","(3.8238322734832764, 2.039052724838257, 2.450958728790283)","(2.965731382369995, 1.627146601676941, 1.9360761642456055)","['Starboard crossing', 'Head-on', 'Port crossing']"
2024/08/07/20:54:52.351446,8,0,0,,"(263.6500549316406, 373.2432861328125, 272.7203369140625)","(235.0414276123047, 236.11209106445312, 307.7536926269531)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.9235134720802307, 0.9559357166290283, 0.5575317740440369)","(0.5440637469291687, 0.4580762982368469, 0.32339030504226685)","(0.07999999821186066, 0.07900000363588333, 0.04800000041723251)","(4.7581281661987305, 7.379375457763672, 6.372324466705322)","(3.950786828994751, 3.950786828994751, 3.950786828994751)","(3.8264503479003906, 2.0403053760528564, 2.452524423599243)","(2.9676949977874756, 1.6280860900878906, 1.9372504949569702)","['Starboard crossing', 'Head-on', 'Port crossing']"
2024/08/07/20:54:52.450797,9,0,0,,"(262.79437255859375, 372.03057861328125, 272.22998046875)","(234.13479614257812, 235.19549560546875, 306.495849609375)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.9236125349998474, 0.9559358954429626, 0.5570327639579773)","(0.5438508987426758, 0.45786014199256897, 0.32527709007263184)","(0.07999999821186066, 0.07900000363588333, 0.04800000041723251)","(4.75896692276001, 7.3801140785217285, 6.373733997344971)","(3.951350688934326, 3.951350688934326, 3.951350688934326)","(3.828193187713623, 2.0411388874053955, 2.453566551208496)","(2.9690020084381104, 1.6287113428115845, 1.9380320310592651)","['Starboard crossing', 'Head-on', 'Port crossing']"
2024/08/07/20:54:52.549818,10,0,0,,"(261.9343566894531, 370.8169250488281, 271.75201416015625)","(233.21987915039062, 234.28421020507812, 305.3294677734375)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.923712432384491, 0.9559360146522522, 0.5565361976623535)","(0.543940007686615, 0.45795002579689026, 0.3274494409561157)","(0.07999999821186066, 0.07900000363588333, 0.04800000041723251)","(4.75941276550293, 7.381464004516602, 6.374476909637451)","(3.951647996902466, 3.951647996902466, 3.951647996902466)","(3.829108238220215, 2.0415782928466797, 2.454115629196167)","(2.9696884155273438, 1.6290408372879028, 1.9384437799453735)","['Starboard crossing', 'Head-on', 'Port crossing']"
