time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.group_wpts_info
2024/08/09/16:02:59.985324,15,1,500251770,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:00.083764,16,1,600165844,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:00.183872,17,1,700184822,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:00.283058,18,1,800183296,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:00.384212,19,1,900173903,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:00.484126,20,2,180245,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:00.583910,21,2,100179911,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:00.684807,22,2,200177431,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:00.783503,23,2,300176859,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:00.883191,24,2,400186539,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:00.984844,25,2,500201225,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:01.084293,26,2,600192547,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:01.183568,27,2,700189591,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:01.284054,28,2,800172568,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:01.382640,29,2,900177956,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:01.484922,30,3,186920,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:01.584982,31,3,100188017,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:01.683799,32,3,200180292,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:01.783907,33,3,300189018,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:01.884831,34,3,400194168,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:01.984946,35,3,500203371,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:02.084615,36,3,600194931,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:02.183535,37,3,700190544,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:02.283355,38,3,800275803,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:02.383931,39,3,900191784,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:02.484541,40,4,190020,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:02.582416,41,4,100173950,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:02.684348,42,4,200161696,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:02.782604,43,4,300185919,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:02.884573,44,4,400200606,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:02.983049,45,4,500185251,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:03.085302,46,4,600183249,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:03.186362,47,4,700184584,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
2024/08/09/16:03:03.283462,48,4,800173283,group waypoint list,"[shipID: 1000
wpts_x: [300.0, 0.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [0.0, 150.0]
target_spd: [1.0, 1.0]]"
