time,.Ship_ID,.Pos_X,.Pos_Y,.Vel_U,.Heading
2024/09/30/21:04:31.019984,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:31.123196,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:31.220048,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:31.322861,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:31.419696,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:31.523958,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:31.618505,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:31.723199,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:31.819342,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:31.923347,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:32.019422,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:32.118652,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:32.219457,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:32.324751,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:32.419370,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:32.523502,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:32.619491,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:32.722597,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:32.819759,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:32.923657,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:33.019608,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:33.121743,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:33.219647,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:33.323898,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:33.421355,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:33.523413,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:33.619346,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:33.723822,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:33.822190,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:33.923994,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:34.020818,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:34.124693,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:34.223072,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:34.323762,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:34.421464,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:34.521892,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:34.621529,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:34.722877,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:34.820451,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:34.924927,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:35.020672,2001,150.009950462,149.15269192,0.422937704306,272.00487367
2024/09/30/21:04:35.123681,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:35.219073,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:35.323416,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:35.419194,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:35.522517,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:35.620662,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:35.722675,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:35.821504,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:35.922727,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:36.019524,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:36.120401,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:36.223638,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:36.322786,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:36.421841,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:36.522698,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:36.621748,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:36.721838,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:36.823516,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:36.924395,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:37.021047,2001,150.023458093,127.676537085,0.532464530978,269.99534942
