time,.Ship_ID,.Pos_X,.Pos_Y,.Vel_U,.Heading
2024/09/30/21:04:31.019900,2001,150.018143922,146.670459417,0.411847123195,270.136161556
2024/09/30/21:04:31.122957,2001,150.019795149,146.257988485,0.412474236817,270.580618225
2024/09/30/21:04:31.219907,2001,150.022355088,145.845063086,0.412933334144,270.517066032
2024/09/30/21:04:31.322568,2001,150.024134618,145.431320144,0.413746768869,270.116225091
2024/09/30/21:04:31.419607,2001,150.024376888,145.016286547,0.415033667424,269.746498109
2024/09/30/21:04:31.523884,2001,150.023553471,144.5998826,0.416404761526,269.651710774
2024/09/30/21:04:31.618465,2001,150.022697468,144.181970508,0.417912968535,269.815145152
2024/09/30/21:04:31.723108,2001,150.022547547,143.762265015,0.4197055193,270.055796305
2024/09/30/21:04:31.819288,2001,150.023137497,143.340585902,0.421679525965,270.189377773
2024/09/30/21:04:31.923441,2001,150.023960124,142.916821044,0.423765656217,270.152862611
2024/09/30/21:04:32.019369,2001,150.024461169,142.49080184,0.426019498964,270.016661272
2024/09/30/21:04:32.118602,2001,150.024449202,142.062365027,0.428436813351,269.905335352
2024/09/30/21:04:32.219521,2001,150.02413639,141.631393129,0.430972011482,269.888995379
2024/09/30/21:04:32.324697,2001,150.02387199,141.197762452,0.433630757754,269.950461717
2024/09/30/21:04:32.419306,2001,150.023861901,140.761343652,0.436418799794,270.025491871
2024/09/30/21:04:32.523444,2001,150.024068225,140.322026698,0.439317002376,270.058442393
2024/09/30/21:04:32.619429,2001,150.024302352,139.879711758,0.442315001987,270.037761474
2024/09/30/21:04:32.722535,2001,150.024401291,139.434299185,0.445412583696,269.99327284
2024/09/30/21:04:32.819701,2001,150.024341202,138.985697925,0.448601264799,269.96404978
2024/09/30/21:04:32.923614,2001,150.02421552,138.533826728,0.451871214192,269.966177008
2024/09/30/21:04:33.019528,2001,150.024132048,138.078609048,0.45521768777,269.988320723
2024/09/30/21:04:33.121696,2001,150.024130842,137.619974512,0.458634535672,270.008382082
2024/09/30/21:04:33.219595,2001,150.024176538,137.157860631,0.462113883095,270.012708746
2024/09/30/21:04:33.323834,2001,150.024206383,136.692211207,0.465649425509,270.002712596
2024/09/30/21:04:33.420906,2001,150.024185348,136.222975949,0.469235257919,269.990118217
2024/09/30/21:04:33.523358,2001,150.024124753,135.750111152,0.472864800761,269.984994356
2024/09/30/21:04:33.619236,2001,150.024059692,135.273579267,0.476531889493,269.988662014
2024/09/30/21:04:33.723626,2001,150.024015789,134.793348495,0.480230774064,269.99564466
2024/09/30/21:04:33.821965,2001,150.023993744,134.309392875,0.483955620442,269.99989431
2024/09/30/21:04:33.923897,2001,150.023976462,133.821692122,0.487700754095,269.999126963
2024/09/30/21:04:34.020625,2001,150.02394725,133.330231314,0.491460808754,269.995450036
2024/09/30/21:04:34.124636,2001,150.023902924,132.835000747,0.495230568524,269.992627784
2024/09/30/21:04:34.223037,2001,150.023852059,132.335995764,0.499004985692,269.992497213
2024/09/30/21:04:34.323709,2001,150.023804545,131.833216503,0.502779263463,269.994231914
2024/09/30/21:04:34.421387,2001,150.02376385,131.326667689,0.506548815312,269.99593964
2024/09/30/21:04:34.521818,2001,150.023726528,130.81635843,0.510309260392,269.996351076
2024/09/30/21:04:34.621283,2001,150.023687061,130.302301979,0.514056452246,269.995571216
2024/09/30/21:04:34.722463,2001,150.023642951,129.784515506,0.517786475166,269.994610427
2024/09/30/21:04:34.820264,2001,150.023595754,129.26301987,0.521495637803,269.994279924
2024/09/30/21:04:34.924891,2001,150.023548476,128.737839391,0.525180481395,269.994609654
2024/09/30/21:04:35.020623,2001,150.023502754,128.209001614,0.528837778915,269.995114426
2024/09/30/21:04:35.123422,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:35.219209,2001,150.023412986,127.140479122,0.536057965493,269.995224036
2024/09/30/21:04:35.323555,2001,150.023366471,126.600863589,0.539615535006,269.994963333
2024/09/30/21:04:35.419019,2001,150.023318763,126.057728679,0.543134911947,269.994826601
2024/09/30/21:04:35.522487,2001,150.023270661,125.511114696,0.546613984369,269.994876447
2024/09/30/21:04:35.620638,2001,150.0232227,124.961063848,0.550050850816,269.995003412
2024/09/30/21:04:35.722524,2001,150.023174842,124.407620036,0.553443814104,269.995081179
2024/09/30/21:04:35.821465,2001,150.023126715,123.850828663,0.556791374861,269.99506567
2024/09/30/21:04:35.922668,2001,150.023078039,123.29073644,0.560092224549,269.995003022
2024/09/30/21:04:36.019493,2001,150.023028841,122.727391205,0.56334523792,269.994963222
2024/09/30/21:04:36.120347,2001,150.022979322,122.160841742,0.566549465164,269.994969963
2024/09/30/21:04:36.223604,2001,150.022929629,121.59113762,0.56970412377,269.994999402
2024/09/30/21:04:36.322762,2001,150.022879764,121.018329032,0.572808590107,269.995019688
2024/09/30/21:04:36.421688,2001,150.022829643,120.442466643,0.575862390846,269.995017817
2024/09/30/21:04:36.522656,2001,150.022779198,119.863601451,0.578865194268,269.995003614
2024/09/30/21:04:36.621697,2001,150.022728439,119.281784652,0.581816801512,269.994994083
2024/09/30/21:04:36.721784,2001,150.022677417,118.697067517,0.584717137816,269.994995334
2024/09/30/21:04:36.823453,2001,150.022626171,118.109501275,0.58756624381,269.995001918
2024/09/30/21:04:36.924350,2001,150.022574743,117.519604274,0.589897003279,269.995006417
2024/09/30/21:04:37.020999,2001,150.022523153,116.927835837,0.591768438987,269.995005929
2024/09/30/21:04:37.124329,2001,150.022471421,116.334603659,0.593232180692,269.995002811
2024/09/30/21:04:37.221917,2001,150.02241958,115.740270247,0.594333414431,269.995000852
2024/09/30/21:04:37.321501,2001,150.022367633,115.144722443,0.595547805889,269.995001239
2024/09/30/21:04:37.418796,2001,150.022315576,114.547858817,0.596863628633,269.995002659
2024/09/30/21:04:37.524417,2001,150.022263401,113.949588933,0.598269885605,269.99500354
2024/09/30/21:04:37.622725,2001,150.022211096,113.349832652,0.599756283946,269.995003363
2024/09/30/21:04:37.723680,2001,150.02215869,112.748958619,0.600874034825,269.995002702
2024/09/30/21:04:37.821431,2001,150.022106213,112.147293905,0.601664716792,269.995002339
2024/09/30/21:04:37.922256,2001,150.022053692,111.545129288,0.602164618712,269.99500246
2024/09/30/21:04:38.023281,2001,150.022001152,110.942723856,0.602405434454,269.995002758
2024/09/30/21:04:38.122182,2001,150.021948575,110.339890858,0.602833000441,269.995002915
2024/09/30/21:04:38.222792,2001,150.021895945,109.736460675,0.603430185368,269.995002857
2024/09/30/21:04:38.323986,2001,150.02184325,109.132279762,0.604180914601,269.995002722
2024/09/30/21:04:38.421580,2001,150.021790476,108.527209637,0.605070128184,269.995002661
2024/09/30/21:04:38.522988,2001,150.021737652,107.921552827,0.605656812098,269.995002695
2024/09/30/21:04:38.621646,2001,150.021684799,107.315578088,0.605974740843,269.995002756
2024/09/30/21:04:38.719469,2001,150.021631941,106.70952473,0.606053360539,269.995002781
2024/09/30/21:04:38.824169,2001,150.021579094,106.103606369,0.60591836283,269.995002765
2024/09/30/21:04:38.923449,2001,150.021526239,105.497603873,0.606002499109,269.995002738
2024/09/30/21:04:39.022881,2001,150.021473359,104.89131766,0.606286214605,269.995002729
2024/09/30/21:04:39.121713,2001,150.02142044,104.284566497,0.606751166059,269.995002738
2024/09/30/21:04:39.223047,2001,150.021367465,103.677186328,0.607380170453,269.99500275
2024/09/30/21:04:39.324257,2001,150.021314459,103.069450778,0.607735552353,269.995002754
2024/09/30/21:04:39.419961,2001,150.021261443,102.461603125,0.607847655353,269.995002749
2024/09/30/21:04:39.523671,2001,150.021208437,101.853860207,0.60774292114,269.995002744
2024/09/30/21:04:39.620101,2001,150.021155457,101.2464158,0.607444408993,269.995002743
2024/09/30/21:04:39.724817,2001,150.021102482,100.639036636,0.607379166313,269.995002745
2024/09/30/21:04:39.824351,2001,150.021049494,100.031510066,0.607526571951,269.995002747
2024/09/30/21:04:39.923854,2001,150.020996477,99.4236427826,0.607867285921,269.995002748
2024/09/30/21:04:40.024433,2001,150.020943415,98.8152595912,0.608383193715,269.995002747
2024/09/30/21:04:40.123136,2001,150.02089033,98.2066215319,0.608638061667,269.995002746
2024/09/30/21:04:40.222125,2001,150.020837244,97.5979607978,0.608660736394,269.995002746
2024/09/30/21:04:40.325283,2001,150.020784173,96.9894844507,0.608476349412,269.995002746
2024/09/30/21:04:40.423385,2001,150.020731135,96.3813776403,0.608106812656,269.995002747
2024/09/30/21:04:40.520219,2001,150.020678108,95.7734009488,0.60797669388,269.995002747
2024/09/30/21:04:40.622718,2001,150.020625074,95.1653360446,0.608064906484,269.995002747
2024/09/30/21:04:40.724973,2001,150.020572014,94.5569843712,0.608351675714,269.995002746
2024/09/30/21:04:40.825225,2001,150.020518914,93.9481658925,0.608818480993,269.995002746
2024/09/30/21:04:40.920798,2001,150.020465795,93.339136182,0.609029712861,269.995002747
2024/09/30/21:04:41.024681,2001,150.020412678,92.7301226174,0.609013566909,269.995002747
2024/09/30/21:04:41.123646,2001,150.02035958,92.1213280147,0.608794605012,269.995002747
2024/09/30/21:04:41.223104,2001,150.020306517,91.5129337767,0.608394240354,269.995002747
2024/09/30/21:04:41.324192,2001,150.020253467,90.9046978149,0.608235964029,269.995002747
2024/09/30/21:04:41.423758,2001,150.020200412,90.2963993303,0.608298486983,269.995002747
2024/09/30/21:04:41.524263,2001,150.020147334,89.6878374872,0.608561845408,269.995002747
