time,.Ship_ID,.Pos_X,.Pos_Y,.Vel_U,.Heading
2024/09/30/21:04:31.020032,2001,150.025826807,146.652602071,0.386692537657,271.206335583
2024/09/30/21:04:31.123315,2001,150.033967696,146.266001713,0.386692537657,271.206335583
2024/09/30/21:04:31.220171,2001,150.042108573,145.879401944,0.386692537657,271.206335583
2024/09/30/21:04:31.322903,2001,150.050249438,145.492802764,0.386692537657,271.206335583
2024/09/30/21:04:31.419728,2001,150.05839029,145.106204172,0.386692537657,271.206335583
2024/09/30/21:04:31.524212,2001,150.066531129,144.71960617,0.386692537657,271.206335583
2024/09/30/21:04:31.618515,2001,150.074671956,144.333008756,0.386692537657,271.206335583
2024/09/30/21:04:31.723231,2001,150.082812771,143.946411931,0.386692537657,271.206335583
2024/09/30/21:04:31.819539,2001,150.090953573,143.559815694,0.386692537657,271.206335583
2024/09/30/21:04:31.923644,2001,150.099094363,143.173220047,0.386692537657,271.206335583
2024/09/30/21:04:32.019472,2001,150.107235141,142.786624988,0.386692537657,271.206335583
2024/09/30/21:04:32.118880,2001,150.115375906,142.400030518,0.386692537657,271.206335583
2024/09/30/21:04:32.219504,2001,150.123516659,142.013436637,0.386692537657,271.206335583
2024/09/30/21:04:32.324619,2001,150.131657399,141.626843345,0.386692537657,271.206335583
2024/09/30/21:04:32.419405,2001,150.139798127,141.240250642,0.386692537657,271.206335583
2024/09/30/21:04:32.523732,2001,150.147938843,140.853658527,0.386692537657,271.206335583
2024/09/30/21:04:32.619674,2001,150.156079546,140.467067001,0.386692537657,271.206335583
2024/09/30/21:04:32.722609,2001,150.164220237,140.080476064,0.386692537657,271.206335583
2024/09/30/21:04:32.819945,2001,150.172360915,139.693885716,0.386692537657,271.206335583
2024/09/30/21:04:32.923972,2001,150.180501581,139.307295957,0.386692537657,271.206335583
2024/09/30/21:04:33.019575,2001,150.188642235,138.920706786,0.386692537657,271.206335583
2024/09/30/21:04:33.121955,2001,150.196782876,138.534118205,0.386692537657,271.206335583
2024/09/30/21:04:33.219687,2001,150.204923504,138.147530212,0.386692537657,271.206335583
2024/09/30/21:04:33.323848,2001,150.213064121,137.760942807,0.386692537657,271.206335583
2024/09/30/21:04:33.421184,2001,150.221204725,137.374355992,0.386692537657,271.206335583
2024/09/30/21:04:33.523605,2001,150.229345316,136.987769766,0.386692537657,271.206335583
2024/09/30/21:04:33.619292,2001,150.237485895,136.601184128,0.386692537657,271.206335583
