time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.m_nPacketCode,.m_nShipID,.m_fltHeading,.m_fltDriftangle,.m_fltShipTime,.m_fltRudderAngleFeedPORT,.m_fltRudderAngleFeedSTBD,.m_fltPropellerRPSFeedPORT,.m_fltPropellerRPSFeedSTBD,.m_fltFOGvel_rollx,.m_fltFOGvel_pitchy,.m_fltFOGvel_yawz,.m_fltFOGang_rollx,.m_fltFOGang_pitchy,.m_fltFOGang_yawz,.m_fltFOGvel_yawzG,.m_fltFOGang_yawzG,.m_fltIncl_heelx,.m_fltIncl_trimy,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/09/30/21:04:31.035578,12,1,192164182,ship_info,(),"(1000, 2001)","(0.0, 270.58061822540344)",(),(),(),"(-0.0, 2.348727773349821)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4240437807309791, 0.4124742368172714)","(3.82782371606683, 150.01979514889484)","(0.0, 146.25798848487526)"
2024/09/30/21:04:31.135528,13,1,292157411,ship_info,(),"(1000, 2001)","(0.0, 270.517066031505)",(),(),(),"(-0.0, 9.9044911551003)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4244505986256455, 0.4129333341439674)","(4.2522743146924755, 150.0223550877184)","(0.0, 145.84506308584963)"
2024/09/30/21:04:31.235595,14,1,392163038,ship_info,(),"(1000, 2001)","(0.0, 270.11622509139755)",(),(),(),"(-0.0, 8.841094520448218)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.425059336794989, 0.41374676886905853)","(4.677333651487465, 150.0241346176426)","(0.0, 145.43132014388829)"
2024/09/30/21:04:31.335452,15,1,492143154,ship_info,(),"(1000, 2001)","(0.0, 269.74649810873575)",(),(),(),"(-0.0, 2.02679853862112)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4258640741420376, 0.4150336674235933)","(5.103197725629502, 150.0243768875601)","(0.0, 145.0162865471755)"
2024/09/30/21:04:31.435601,16,1,592158317,ship_info,(),"(1000, 2001)","(0.0, 269.651710774412)",(),(),(),"(-0.0, -4.258560166629407)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.42685875446519506, 0.4164047615256966)","(5.530056480094697, 150.02355347096307)","(0.0, 144.59988259978022)"
2024/09/30/21:04:31.535446,17,1,692128181,ship_info,(),"(1000, 2001)","(0.0, 269.81514515181243)",(),(),(),"(-0.0, -5.869944850133029)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.42803719077884544, 0.41791296853484766)","(5.958093670873543, 150.02269746759615)","(0.0, 144.18197050791417)"
2024/09/30/21:04:31.635566,18,1,792146444,ship_info,(),"(1000, 2001)","(0.0, 270.0557963052599)",(),(),(),"(-0.0, -3.091560434325781)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.42939307104164554, 0.41970551930026584)","(6.387486741915189, 150.022547547117)","(0.0, 143.76226501539)"
2024/09/30/21:04:31.735430,19,1,892128944,ship_info,(),"(1000, 2001)","(0.0, 270.1893777732839)",(),(),(),"(-0.0, 1.0164998359018922)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.43091996522885856, 0.42167952596451386)","(6.818406707144048, 150.02313749721648)","(0.0, 143.3405859021101)"
2024/09/30/21:04:31.835559,20,1,992151499,ship_info,(),"(1000, 2001)","(0.0, 270.1528626109204)",(),(),(),"(-0.0, 3.2873847923106596)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4326113336774816, 0.4237656562166267)","(7.2510180408215295, 150.02396012387788)","(0.0, 142.91682104434804)"
2024/09/30/21:04:31.935472,21,2,92129707,ship_info,(),"(1000, 2001)","(0.0, 270.01666127230965)",(),(),(),"(-0.0, 2.6666270321305823)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.43446053662544104, 0.42601949896373326)","(7.68547857744697, 150.02446116865585)","(0.0, 142.4908018400257)"
