time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.m_nPacketCode,.m_nShipID,.m_fltHeading,.m_fltDriftangle,.m_fltShipTime,.m_fltRudderAngleFeedPORT,.m_fltRudderAngleFeedSTBD,.m_fltPropellerRPSFeedPORT,.m_fltPropellerRPSFeedSTBD,.m_fltFOGvel_rollx,.m_fltFOGvel_pitchy,.m_fltFOGvel_yawz,.m_fltFOGang_rollx,.m_fltFOGang_pitchy,.m_fltFOGang_yawz,.m_fltFOGvel_yawzG,.m_fltFOGang_yawzG,.m_fltIncl_heelx,.m_fltIncl_trimy,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/08/09/16:02:59.977990,13,1,388938904,ship_info,(),"(1000, 2001)","(0.0, 269.92188514730674)",(),(),(),"(-0.0, -1.2202421861916206)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4244505986256455, 0.5003899945922388)","(4.2522743146924755, 150.04431536963452)","(0.0, 139.85260222766757)"
2024/08/09/16:03:00.077949,14,1,488947153,ship_info,(),"(1000, 2001)","(0.0, 270.0110027859671)",(),(),(),"(-0.0, -0.18019304213091358)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.425059336794989, 0.4982730858149478)","(4.677333651487465, 150.04412961544352)","(0.0, 138.85513388348446)"
2024/08/09/16:03:00.177911,15,1,588938713,ship_info,(),"(1000, 2001)","(0.0, 270.01387170409487)",(),(),(),"(-0.0, 0.5099996319489285)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4258640741420376, 0.497607021919176)","(5.103197725629502, 150.04418138497658)","(0.0, 138.35752686425826)"
2024/08/09/16:03:00.277985,16,1,688984156,ship_info,(),"(1000, 2001)","(0.0, 270.01387170409487)",(),(),(),"(-0.0, 0.5099996319489285)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.42685875446519506, 0.497607021919176)","(5.530056480094697, 150.04418138497658)","(0.0, 138.35752686425826)"
2024/08/09/16:03:00.377858,17,1,788927555,ship_info,(),"(1000, 2001)","(0.0, 270.01387170409487)",(),(),(),"(-0.0, 0.5099996319489285)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.42803719077884544, 0.497607021919176)","(5.958093670873543, 150.04418138497658)","(0.0, 138.35752686425826)"
2024/08/09/16:03:00.477917,18,1,888934612,ship_info,(),"(1000, 2001)","(0.0, 270.01387170409487)",(),(),(),"(-0.0, 0.5099996319489285)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.42939307104164554, 0.497607021919176)","(6.387486741915189, 150.04418138497658)","(0.0, 138.35752686425826)"
2024/08/09/16:03:00.577987,19,1,988981486,ship_info,(),"(1000, 2001)","(0.0, 270.01387170409487)",(),(),(),"(-0.0, 0.5099996319489285)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.43091996522885856, 0.497607021919176)","(6.818406707144048, 150.04418138497658)","(0.0, 138.35752686425826)"
2024/08/09/16:03:00.677934,20,2,88955403,ship_info,(),"(1000, 2001)","(0.0, 270.01387170409487)",(),(),(),"(-0.0, 0.5099996319489285)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4326113336774816, 0.497607021919176)","(7.2510180408215295, 150.04418138497658)","(0.0, 138.35752686425826)"
2024/08/09/16:03:00.777910,21,2,188935757,ship_info,(),"(1000, 2001)","(0.0, 270.01387170409487)",(),(),(),"(-0.0, 0.5099996319489285)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.43446053662544104, 0.497607021919176)","(7.68547857744697, 150.04418138497658)","(0.0, 138.35752686425826)"
2024/08/09/16:03:00.878076,22,2,289014340,ship_info,(),"(1000, 2001)","(0.0, 270.01387170409487)",(),(),(),"(-0.0, 0.5099996319489285)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.43646084485891, 0.497607021919176)","(8.12193942230588, 150.04418138497658)","(0.0, 138.35752686425826)"
2024/08/09/16:03:00.977900,23,2,388937473,ship_info,(),"(1000, 2001)","(0.0, 270.01387170409487)",(),(),(),"(-0.0, 0.5099996319489285)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4386054513749725, 0.497607021919176)","(8.560544873680852, 150.04418138497658)","(0.0, 138.35752686425826)"
2024/08/09/16:03:01.077929,24,2,488952875,ship_info,(),"(1000, 2001)","(0.0, 270.01387170409487)",(),(),(),"(-0.0, 0.5099996319489285)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4408874839605406, 0.497607021919176)","(9.001432357641393, 150.04418138497658)","(0.0, 138.35752686425826)"
2024/08/09/16:03:01.178895,25,2,588974238,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4433000185827467, 0.5029162692805289)","(9.44473237622414, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:01.278546,26,2,688942909,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4458360934810804, 0.5029162692805289)","(9.89056846970522, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:01.377952,27,2,788949251,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.44848872384742267, 0.5029162692805289)","(10.339057193552643, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:01.477889,28,2,888939858,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.45125091697692055, 0.5029162692805289)","(10.790308110529564, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:01.577949,29,2,988944054,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4541156877704161, 0.5029162692805289)","(11.24442379829998, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:01.677858,30,3,88936806,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4570760744679426, 0.5029162692805289)","(11.701499872767922, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:01.777873,31,3,188927651,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4601251544926589, 0.5029162692805289)","(12.16162502726058, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:01.877871,32,3,288924217,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.46325606028553507, 0.5029162692805289)","(12.624881087546115, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:01.977913,33,3,388920784,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.46646199501311547, 0.5029162692805289)","(13.09134308255923, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:02.077973,34,3,488943339,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4697362480337659, 0.5029162692805289)","(13.561079330592996, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:02.177926,35,3,588947773,ship_info,(),"(1000, 2001)","(0.0, 269.97142964486545)",(),(),(),"(-0.0, -0.09227282942898973)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.47307221001191463, 0.5029162692805289)","(14.03415154060491, 150.0425491279845)","(0.0, 133.36857267109087)"
2024/08/09/16:03:02.277989,36,3,688936949,ship_info,(),"(1000, 2001)","(0.0, 269.9739960390558)",(),(),(),"(-0.0, 0.004678585377500179)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4764633875748784, 0.5258637235793652)","(14.510614928179788, 150.04012397764015)","(0.0, 127.71004304808645)"
2024/08/09/16:03:02.377886,37,3,788933516,ship_info,(),"(1000, 2001)","(0.0, 269.9739960390558)",(),(),(),"(-0.0, 0.004678585377500179)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4799034174128601, 0.5258637235793652)","(14.990518345592648, 150.04012397764015)","(0.0, 127.71004304808645)"
2024/08/09/16:03:02.477892,38,3,888936997,ship_info,(),"(1000, 2001)","(0.0, 269.9739960390558)",(),(),(),"(-0.0, 0.004678585377500179)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.48338607972953596, 0.5258637235793652)","(15.473904425322184, 150.04012397764015)","(0.0, 127.71004304808645)"
2024/08/09/16:03:02.577841,39,3,988926649,ship_info,(),"(1000, 2001)","(0.0, 269.9739960390558)",(),(),(),"(-0.0, 0.004678585377500179)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.48690531095822814, 0.5258637235793652)","(15.960809736280412, 150.04012397764015)","(0.0, 127.71004304808645)"
2024/08/09/16:03:02.677857,40,4,88923216,ship_info,(),"(1000, 2001)","(0.0, 269.9739960390558)",(),(),(),"(-0.0, 0.004678585377500179)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4904552156668877, 0.5258637235793652)","(16.451264951947298, 150.04012397764015)","(0.0, 127.71004304808645)"
2024/08/09/16:03:02.777823,41,4,188913822,ship_info,(),"(1000, 2001)","(0.0, 269.9739960390558)",(),(),(),"(-0.0, 0.004678585377500179)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.49403007758388506, 0.5258637235793652)","(16.945295029531184, 150.04012397764015)","(0.0, 127.71004304808645)"
2024/08/09/16:03:02.878130,42,4,288993836,ship_info,(),"(1000, 2001)","(0.0, 269.9739960390558)",(),(),(),"(-0.0, 0.004678585377500179)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.4976243696858082, 0.5258637235793652)","(17.442919399216994, 150.04012397764015)","(0.0, 127.71004304808645)"
