time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.V_opt,.Collision_cone
2024/08/09/16:02:59.935291,1,0,0,,"(0.949999988079071, -2.569450785472327e-08)","(5.020620346069336, -0.6417532563209534, 72.67162322998047, 75.02588653564453, 81.43586730957031, 66.16363525390625)"
2024/08/09/16:03:00.032670,2,0,0,,"(0.949999988079071, -1.3515334629232711e-08)","(5.431177139282227, -0.637658953666687, 73.11764526367188, 74.99825286865234, 81.86408233642578, 66.14752197265625)"
2024/08/09/16:03:00.138888,3,0,0,,"(0.949999988079071, 4.44612346939266e-09)","(5.837848663330078, -0.6335549354553223, 73.22639465332031, 74.59797668457031, 81.91068267822266, 65.8038101196289)"
2024/08/09/16:03:00.234615,4,0,0,,"(0.949999988079071, 1.4664835568112267e-08)","(6.2423176765441895, -0.6295186281204224, 73.66595458984375, 74.57057189941406, 82.3309097290039, 65.78980255126953)"
2024/08/09/16:03:00.335876,5,0,0,,"(0.949999988079071, 1.2265034321501389e-08)","(6.645750045776367, -0.6258275508880615, 73.76849365234375, 74.1724853515625, 82.37411499023438, 65.44583892822266)"
2024/08/09/16:03:00.435886,6,0,0,,"(0.949999988079071, 2.1223582891138904e-09)","(7.048764228820801, -0.6224623322486877, 73.8681640625, 73.7762451171875, 82.41770935058594, 65.1006088256836)"
2024/08/09/16:03:00.532808,7,0,0,,"(0.949999988079071, -6.645761718715448e-09)","(7.450999736785889, -0.6190838813781738, 74.30040740966797, 73.7526626586914, 82.8370590209961, 65.08435821533203)"
2024/08/09/16:03:00.637058,8,0,0,,"(0.949999988079071, -8.512463622878386e-09)","(7.851897716522217, -0.6156935691833496, 74.39656829833984, 73.35765838623047, 82.87769317626953, 64.74010467529297)"
2024/08/09/16:03:00.736195,9,0,0,,"(0.949999988079071, -4.205851222849333e-09)","(8.251423835754395, -0.6126195788383484, 74.4895248413086, 72.9639663696289, 82.91748809814453, 64.39491271972656)"
2024/08/09/16:03:00.835353,10,0,0,,"(0.949999988079071, 1.7563104304230137e-09)","(8.649831771850586, -0.6098537445068359, 74.91419982910156, 72.94307708740234, 83.33389282226562, 64.37699890136719)"
2024/08/09/16:03:00.938233,11,0,0,,"(0.949999988079071, 4.9954524961037805e-09)","(9.047554969787598, -0.6070377230644226, 75.00157928466797, 72.552490234375, 83.37310028076172, 64.0301284790039)"
2024/08/09/16:03:01.035567,12,0,0,,"(0.949999988079071, 4.03463618070532e-09)","(9.444598197937012, -0.6041725873947144, 75.42253875732422, 72.5337905883789, 83.78842163085938, 64.01197052001953)"
2024/08/09/16:03:01.136568,13,0,0,,"(0.949999988079071, 5.876168995833098e-10)","(9.840822219848633, -0.6016052961349487, 75.50739288330078, 72.14385223388672, 83.82513427734375, 63.66596984863281)"
2024/08/09/16:03:01.236811,14,0,0,,"(0.949999988079071, -2.3170156904228634e-09)","(10.236358642578125, -0.5993290543556213, 75.58975219726562, 71.75524139404297, 83.86188507080078, 63.3188362121582)"
2024/08/09/16:03:01.338054,15,0,0,,"(0.949999988079071, -2.88352008936954e-09)","(10.630977630615234, -0.5973344445228577, 76.00491333007812, 71.73867797851562, 84.27584838867188, 63.29854202270508)"
2024/08/09/16:03:01.434566,16,0,0,,"(0.949999988079071, -1.3934653431135757e-09)","(11.025238990783691, -0.5952460169792175, 76.08268737792969, 71.35285186767578, 84.3124771118164, 62.949859619140625)"
2024/08/09/16:03:01.535942,17,0,0,,"(0.949999988079071, 6.267849017582705e-10)","(11.419623374938965, -0.5930665135383606, 76.49388885498047, 71.3398208618164, 84.7278060913086, 62.92787551879883)"
2024/08/09/16:03:01.633653,18,0,0,,"(0.949999988079071, 1.7085380887849055e-09)","(11.81395435333252, -0.5911644697189331, 76.5693130493164, 70.95597839355469, 84.76471710205078, 62.578731536865234)"
2024/08/09/16:03:01.734708,19,0,0,,"(0.949999988079071, 1.365969559685709e-09)","(12.207890510559082, -0.5895342230796814, 76.64424896240234, 70.57194519042969, 84.80064392089844, 62.22998809814453)"
2024/08/09/16:03:01.833120,20,0,0,,"(0.949999988079071, 1.8791453115785117e-10)","(12.60149097442627, -0.5877875685691833, 77.05290222167969, 70.56005859375, 85.21504211425781, 62.20769500732422)"
2024/08/09/16:03:01.935472,21,0,0,,"(0.949999988079071, -7.98847432648131e-10)","(12.99491024017334, -0.5859301686286926, 77.12406158447266, 70.17919158935547, 85.25167846679688, 61.85771560668945)"
2024/08/09/16:03:02.038006,22,0,0,,"(0.949999988079071, -9.868603711993273e-10)","(13.388409614562988, -0.5843400359153748, 77.19358825683594, 69.79959869384766, 85.28892517089844, 61.5068473815918)"
2024/08/09/16:03:02.136966,23,0,0,,"(0.949999988079071, -4.74513428549983e-10)","(13.7822904586792, -0.5830106139183044, 77.59764862060547, 69.79170227050781, 85.70567321777344, 61.481693267822266)"
2024/08/09/16:03:02.235492,24,0,0,,"(0.949999988079071, 2.1647328374285735e-10)","(14.176383018493652, -0.5815469622612, 77.66603088378906, 69.4135513305664, 85.74336242675781, 61.130828857421875)"
2024/08/09/16:03:02.335064,25,0,0,,"(0.949999988079071, 5.84757353649934e-10)","(14.57045841217041, -0.579956591129303, 78.07032775878906, 69.40587615966797, 86.15900421142578, 61.107398986816406)"
2024/08/09/16:03:02.435845,26,0,0,,"(0.949999988079071, 4.656720564710781e-10)","(14.964699745178223, -0.5786249041557312, 78.13725280761719, 69.029052734375, 86.19676208496094, 60.7564697265625)"
2024/08/09/16:03:02.537021,27,0,0,,"(0.949999988079071, 6.183670242521089e-11)","(15.3592529296875, -0.5775455832481384, 78.53903198242188, 69.02357482910156, 86.61439514160156, 60.73073196411133)"
2024/08/09/16:03:02.635087,28,0,0,,"(0.949999988079071, -2.7489105436373507e-10)","(15.75429916381836, -0.5767122507095337, 78.60379791259766, 68.64893341064453, 86.65415954589844, 60.37786102294922)"
2024/08/09/16:03:02.734985,29,0,0,,"(0.949999988079071, -3.372346568664142e-10)","(16.150054931640625, -0.5761185884475708, 78.66783142089844, 68.27537536621094, 86.69515228271484, 60.02412033081055)"
2024/08/09/16:03:02.835398,30,0,0,,"(0.949999988079071, -1.6047421724785238e-10)","(16.54631233215332, -0.5757582187652588, 79.06890106201172, 68.2713623046875, 87.11517333984375, 59.99681091308594)"
2024/08/09/16:03:02.935165,31,0,0,,"(0.949999988079071, 7.554352976502088e-11)","(16.943286895751953, -0.5752071738243103, 79.13312530517578, 67.898681640625, 87.15719604492188, 59.64320373535156)"
2024/08/09/16:03:03.033799,32,0,0,,"(0.949999988079071, 1.9947375695661407e-10)","(17.341167449951172, -0.574476957321167, 79.53290557861328, 67.89768981933594, 87.58026885986328, 59.61454391479492)"
2024/08/09/16:03:03.138961,33,0,0,,"(0.949999988079071, 1.5652082407946466e-10)","(17.740123748779297, -0.5735781192779541, 79.59600830078125, 67.52818298339844, 87.62525177001953, 59.26009750366211)"
2024/08/09/16:03:03.234994,34,0,0,,"(0.949999988079071, 1.8048017941252326e-11)","(18.139869689941406, -0.5729195475578308, 79.66027069091797, 67.15809631347656, 87.66990661621094, 58.90669250488281)"
2024/08/09/16:03:03.335944,35,0,0,,"(0.949999988079071, -9.507870879499336e-11)","(18.5401554107666, -0.5724950432777405, 80.06172943115234, 67.15745544433594, 88.09419250488281, 58.87904739379883)"
2024/08/09/16:03:03.433289,36,0,0,,"(0.949999988079071, -1.136441704630009e-10)","(18.94118309020996, -0.5722982883453369, 80.12649536132812, 66.78761291503906, 88.13982391357422, 58.52548599243164)"
2024/08/09/16:03:03.534382,37,0,0,,"(0.949999988079071, -5.198655742000291e-11)","(19.343149185180664, -0.5723228454589844, 80.52715301513672, 66.78878021240234, 88.5672836303711, 58.495601654052734)"
2024/08/09/16:03:03.635046,38,0,0,,"(0.949999988079071, 2.759716934142009e-11)","(19.74625015258789, -0.5725620985031128, 80.59156036376953, 66.42070770263672, 88.6161880493164, 58.140140533447266)"
2024/08/09/16:03:03.734417,39,0,0,,"(0.949999988079071, 6.744355074417285e-11)","(20.150671005249023, -0.5730094909667969, 80.65613555908203, 66.05348205566406, 88.66693878173828, 57.783836364746094)"
2024/08/09/16:03:03.833672,40,0,0,,"(0.949999988079071, 5.081084858415963e-11)","(20.556581497192383, -0.57321697473526, 81.05706787109375, 66.05779266357422, 89.1003646850586, 57.751304626464844)"
2024/08/09/16:03:03.936496,41,0,0,,"(0.949999988079071, 3.651729092724043e-12)","(20.96367835998535, -0.5731995701789856, 81.12366485595703, 65.69161987304688, 89.15312957763672, 57.396175384521484)"
2024/08/09/16:03:04.034436,42,0,0,,"(0.949999988079071, -3.305068371761699e-11)","(21.371681213378906, -0.573398232460022, 81.52793884277344, 65.69480895996094, 89.58685302734375, 57.3657112121582)"
2024/08/09/16:03:04.135209,43,0,0,,"(0.949999988079071, -3.7302438915531866e-11)","(21.780778884887695, -0.5738063454627991, 81.59612274169922, 65.32857513427734, 89.6412582397461, 57.01053237915039)"
2024/08/09/16:03:04.237314,44,0,0,,"(0.949999988079071, -1.5570310665791176e-11)","(22.191160202026367, -0.5739769339561462, 81.66442108154297, 64.96365356445312, 89.69734954833984, 56.65507125854492)"
2024/08/09/16:03:04.336597,45,0,0,,"(0.949999988079071, 1.060196375135547e-11)","(22.60300064086914, -0.573924720287323, 82.06890106201172, 64.97038269042969, 90.13675689697266, 56.62259292602539)"
2024/08/09/16:03:04.436641,46,0,0,,"(0.949999988079071, 2.2432351115542204e-11)","(23.01647186279297, -0.5740898251533508, 82.13780975341797, 64.60771179199219, 90.1966781616211, 56.26620864868164)"
2024/08/09/16:03:04.537165,47,0,0,,"(0.949999988079071, 1.559096254877268e-11)","(23.431264877319336, -0.5744653940200806, 82.5447006225586, 64.614501953125, 90.6385726928711, 56.233787536621094)"
2024/08/09/16:03:04.638227,48,0,0,,"(0.949999988079071, -2.2045651979288317e-13)","(23.847551345825195, -0.5750448107719421, 82.61611938476562, 64.2516860961914, 90.7006607055664, 55.8776969909668)"
2024/08/09/16:03:04.736113,49,0,0,,"(0.949999988079071, -1.1466215997513185e-11)","(24.265501022338867, -0.5758209824562073, 82.68819427490234, 63.889583587646484, 90.7647933959961, 55.52091979980469)"
2024/08/09/16:03:04.837635,50,0,0,,"(0.949999988079071, -1.1737066180073086e-11)","(24.68527603149414, -0.5767870545387268, 83.09683227539062, 63.89870834350586, 91.21346282958984, 55.48568344116211)"
2024/08/09/16:03:04.937141,51,0,0,,"(0.949999988079071, -4.071420717927099e-12)","(25.10655403137207, -0.5774789452552795, 83.17212677001953, 63.53678894042969, 91.28020477294922, 55.1297721862793)"
2024/08/09/16:03:05.036595,52,0,0,,"(0.949999988079071, 4.181721809104477e-12)","(25.529037475585938, -0.5779144763946533, 83.24946594238281, 63.174354553222656, 91.34698486328125, 54.77547836303711)"
2024/08/09/16:03:05.135147,53,0,0,,"(0.949999988079071, 7.241229751236977e-12)","(25.952899932861328, -0.5785517692565918, 83.6627426147461, 63.18330383300781, 91.79838562011719, 54.7420768737793)"
2024/08/09/16:03:05.236765,54,0,0,,"(0.949999988079071, 4.38390990176174e-12)","(26.378314971923828, -0.5793837308883667, 83.74104309082031, 62.8222541809082, 91.86908721923828, 54.38614273071289)"
2024/08/09/16:03:05.332929,55,0,0,,"(0.949999988079071, -7.537188646648818e-13)","(26.805444717407227, -0.5799497365951538, 84.15544128417969, 62.83320617675781, 92.32492065429688, 54.35135269165039)"
2024/08/09/16:03:05.436455,56,0,0,,"(0.949999988079071, -3.902666818184075e-12)","(27.233972549438477, -0.5802669525146484, 84.23664093017578, 62.47285079956055, 92.3978500366211, 53.996917724609375)"
2024/08/09/16:03:05.534031,57,0,0,,"(0.949999988079071, -3.4655939142730352e-12)","(27.663602828979492, -0.5807900428771973, 84.3198471069336, 62.111473083496094, 92.47075653076172, 53.643585205078125)"
2024/08/09/16:03:05.632877,58,0,0,,"(0.949999988079071, -8.254392720556669e-13)","(28.094512939453125, -0.5815118551254272, 84.73860931396484, 62.12173080444336, 92.92903137207031, 53.61014175415039)"
2024/08/09/16:03:05.735630,59,0,0,,"(0.949999988079071, 1.6124434686765055e-12)","(28.526878356933594, -0.582425057888031, 84.82270812988281, 61.761619567871094, 93.00572204589844, 53.25510025024414)"
2024/08/09/16:03:05.835262,60,0,0,,"(0.949999988079071, 2.2242819565365668e-12)","(28.960865020751953, -0.5835223197937012, 85.24259948730469, 61.77324676513672, 93.46841430664062, 53.21959686279297)"
2024/08/09/16:03:05.935236,61,0,0,,"(0.949999988079071, 1.0799194654839694e-12)","(29.39615821838379, -0.5843349695205688, 85.32969665527344, 61.41315841674805, 93.5474624633789, 52.86526870727539)"
2024/08/09/16:03:06.035862,62,0,0,,"(0.949999988079071, -5.03119301862448e-13)","(29.832468032836914, -0.5848817229270935, 85.41873931884766, 61.05249786376953, 93.6264419555664, 52.512474060058594)"
