time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.DCPA,.TCPA,.UDCPA,.UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/08/09/16:02:59.935047,1,0,0,,"(287.88165283203125,)","(241.79127502441406,)","(0.0,)","(0.0,)","(0.0,)","(0.9204748272895813,)","(0.5657253861427307,)","(0.07999999821186066,)","(4.782151222229004,)","(3.9662134647369385,)","(3.87329363822937,)","(3.0028274059295654,)",['Starboard crossing']
2024/08/09/16:03:00.032664,2,0,0,,"(286.9623107910156,)","(242.59121704101562,)","(0.0,)","(0.0,)","(0.0,)","(0.9206010699272156,)","(0.5641607642173767,)","(0.07999999821186066,)","(4.778130531311035,)","(3.964827537536621,)","(3.870669364929199,)","(3.000859260559082,)",['Starboard crossing']
2024/08/09/16:03:00.138880,3,0,0,,"(286.0771789550781,)","(243.00730895996094,)","(0.0,)","(0.0,)","(0.0,)","(0.9207248687744141,)","(0.5626744031906128,)","(0.07999999821186066,)","(4.775909900665283,)","(3.963282585144043,)","(3.865812301635742,)","(2.9972164630889893,)",['Starboard crossing']
2024/08/09/16:03:00.234607,4,0,0,,"(285.20306396484375,)","(243.31576538085938,)","(0.0,)","(0.0,)","(0.0,)","(0.9208458662033081,)","(0.5613078474998474,)","(0.07999999821186066,)","(4.774044990539551,)","(3.9615862369537354,)","(3.8599929809570312,)","(2.992851734161377,)",['Starboard crossing']
2024/08/09/16:03:00.335851,5,0,0,,"(284.32989501953125,)","(243.54315185546875,)","(0.0,)","(0.0,)","(0.0,)","(0.9209641218185425,)","(0.5599713325500488,)","(0.07999999821186066,)","(4.772398948669434,)","(3.9601542949676514,)","(3.8551440238952637,)","(2.989215135574341,)",['Starboard crossing']
2024/08/09/16:03:00.435629,6,0,0,,"(283.4533386230469,)","(243.7611846923828,)","(0.0,)","(0.0,)","(0.0,)","(0.9210800528526306,)","(0.5586573481559753,)","(0.07999999821186066,)","(4.77064323425293,)","(3.958983898162842,)","(3.851531505584717,)","(2.9865057468414307,)",['Starboard crossing']
2024/08/09/16:03:00.532749,7,0,0,,"(282.5754089355469,)","(244.0834503173828,)","(0.0,)","(0.0,)","(0.0,)","(0.9211939573287964,)","(0.5574314594268799,)","(0.07999999821186066,)","(4.768299102783203,)","(3.9576427936553955,)","(3.847677230834961,)","(2.983614921569824,)",['Starboard crossing']
2024/08/09/16:03:00.637039,8,0,0,,"(281.7011413574219,)","(244.43666076660156,)","(0.0,)","(0.0,)","(0.0,)","(0.9213060736656189,)","(0.5562894344329834,)","(0.07999999821186066,)","(4.7657246589660645,)","(3.956139326095581,)","(3.8433117866516113,)","(2.9803409576416016,)",['Starboard crossing']
2024/08/09/16:03:00.736143,9,0,0,,"(280.83367919921875,)","(244.62709045410156,)","(0.0,)","(0.0,)","(0.0,)","(0.9214164614677429,)","(0.5551687479019165,)","(0.07999999821186066,)","(4.7637786865234375,)","(3.954897165298462,)","(3.839552640914917,)","(2.9775216579437256,)",['Starboard crossing']
2024/08/09/16:03:00.835350,10,0,0,,"(279.9720764160156,)","(244.6585693359375,)","(0.0,)","(0.0,)","(0.0,)","(0.9215250015258789,)","(0.5540686845779419,)","(0.07999999821186066,)","(4.7624382972717285,)","(3.953913450241089,)","(3.8364052772521973,)","(2.975161075592041,)",['Starboard crossing']
