time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.m_nPacketCode,.m_nShipID,.m_fltHeading,.m_fltDriftangle,.m_fltShipTime,.m_fltRudderAngleFeedPORT,.m_fltRudderAngleFeedSTBD,.m_fltPropellerRPSFeedPORT,.m_fltPropellerRPSFeedSTBD,.m_fltFOGvel_rollx,.m_fltFOGvel_pitchy,.m_fltFOGvel_yawz,.m_fltFOGang_rollx,.m_fltFOGang_pitchy,.m_fltFOGang_yawz,.m_fltFOGvel_yawzG,.m_fltFOGang_yawzG,.m_fltIncl_heelx,.m_fltIncl_trimy,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/08/09/16:02:59.936860,13,1,203485012,ship_info,(),"(1000, 2001)","(359.99999918487197, 270.0991042008237)",(),(),(),"(-2.6344396975711195e-05, -1.5219916324515854)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5381604119890685, 0.6376600054164009)","(5.430074165963268, 150.0602596824761)","(7.41428873044779e-08, 142.92588580406508)"
2024/08/09/16:03:00.036168,14,1,302839756,ship_info,(),"(1000, 2001)","(2.6815170008331575e-07, 270.0884554239715)",(),(),(),"(-1.3857176407718492e-05, 3.012723909787967)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5367962695372714, 0.6335557838300704)","(5.83687043550054, 150.06121807872788)","(7.332836271878506e-08, 142.42233093227318)"
2024/08/09/16:03:00.141304,15,1,407760620,ship_info,(),"(1000, 2001)","(8.844559638859153e-07, 270.0132960030865)",(),(),(),"(4.558578901416368e-06, 1.316694846074033)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5353009894152164, 0.6295187441727882)","(6.242171424915756, 150.06185909992269)","(7.582374958505727e-08, 141.9228125994046)"
2024/08/09/16:03:00.236486,16,1,503095388,ship_info,(),"(1000, 2001)","(7.397207470706608e-07, 269.95770590998416)",(),(),(),"(1.5035751386060558e-05, -0.009786917142069168)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.534040733026222, 0.6258277786401127)","(6.646212157941978, 150.06215335148255)","(7.951932339361986e-08, 141.42698490807706)"
2024/08/09/16:03:00.339216,17,1,605612516,ship_info,(),"(1000, 2001)","(1.2800229071329222e-07, 269.95765082701155)",(),(),(),"(1.2575252700201234e-05, -0.9548184998825475)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5330120111620869, 0.6224625955460052)","(7.049224169104065, 150.06229365066847)","(8.198874917680313e-08, 140.9345223325162)"
2024/08/09/16:03:00.439458,18,1,706023931,ship_info,(),"(1000, 2001)","(359.9999995991852, 269.99453780027613)",(),(),(),"(2.176038942125968e-06, -0.9557549104162167)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5318346282267563, 0.6190839780311513)","(7.451058797330821, 150.06247961543443)","(8.223410185040525e-08, 140.4454383898398)"
2024/08/09/16:03:00.536288,19,1,802954435,ship_info,(),"(1000, 2001)","(359.9999994866019, 270.02997416008003)",(),(),(),"(-6.8138520091692575e-06, -0.3286763649181539)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5305166950713749, 0.6156937536525995)","(7.851575492402196, 150.0627799839778)","(8.099683333201077e-08, 139.95974472906596)"
2024/08/09/16:03:00.640485,20,1,907098532,ship_info,(),"(1000, 2001)","(359.9999997463395, 270.03920900643783)",(),(),(),"(-8.727767938290772e-06, 0.2737417517473471)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.529429364361709, 0.6126197974700227)","(8.251004856763904, 150.06313423799912)","(7.975390617016171e-08, 139.47712506161125)"
2024/08/09/16:03:00.739953,21,2,6603956,ship_info,(),"(1000, 2001)","(1.0592544755583548e-07, 270.02418555039566)",(),(),(),"(-4.312229064008048e-06, 0.4307341398305933)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5285692640597373, 0.6098538565769493)","(8.649574120823642, 150.06344208635682)","(7.954336402523758e-08, 138.99727130378375)"
2024/08/09/16:03:00.836543,22,2,103204250,ship_info,(),"(1000, 2001)","(3.0128246263909265e-07, 270.00449684442856)",(),(),(),"(1.800732608449203e-06, 0.17533538711288332)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5279328838918936, 0.6070378134553855)","(9.047507004715536, 150.06365363225223)","(8.041832176002243e-08, 138.52023353723416)"
2024/08/09/16:03:00.940128,23,2,206726312,ship_info,(),"(1000, 2001)","(2.433343414340204e-07, 269.9965573530779)",(),(),(),"(5.121801864864575e-06, -0.1593726143269361)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5271272809485863, 0.6041726874140488)","(9.444634285664122, 150.06379226407472)","(8.16718476876787e-08, 138.0460608700857)"
2024/08/09/16:03:01.038709,24,2,305344343,ship_info,(),"(1000, 2001)","(3.543996977794143e-08, 270.00246068812487)",(),(),(),"(4.136683804378347e-06, -0.29434396728848716)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5261617810852646, 0.6016053762520666)","(9.840796066749387, 150.0639148167887)","(8.250390889225387e-08, 137.5744555097571)"
2024/08/09/16:03:01.137901,25,2,404538870,ship_info,(),"(1000, 2001)","(359.9999998602577, 270.0135593433209)",(),(),(),"(6.024794862250041e-07, -0.19398727149006384)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5254205346473841, 0.5993291771563394)","(10.236216601396771, 150.06406147729714)","(8.259065231200969e-08, 137.1051263555157)"
2024/08/09/16:03:01.238670,26,2,505260706,ship_info,(),"(1000, 2001)","(359.999999826091, 269.98664897628225)",(),(),(),"(-2.3756195464566055e-06, 0.7162048737417881)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5249001021900465, 0.5973345290332671)","(10.631116703586818, 150.0641313317462)","(8.218110070092366e-08, 136.63779183170314)"
2024/08/09/16:03:01.340036,27,2,606591225,ship_info,(),"(1000, 2001)","(359.99999991595826, 269.9543130302855)",(),(),(),"(-2.9564523914965982e-06, 0.2587286340847372)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5245968895479833, 0.5952462694086447)","(11.025713593134801, 150.0640468748005)","(8.177059379624102e-08, 136.1725455699603)"
2024/08/09/16:03:01.436527,28,2,703178406,ship_info,(),"(1000, 2001)","(3.780224094437884e-08, 269.94230637670387)",(),(),(),"(-1.428709844689903e-06, -0.2909824478600086)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5245071398036962, 0.5930668878960766)","(11.420220732938498, 150.06384814869094)","(8.17085081289886e-08, 135.7094787247061)"
2024/08/09/16:03:01.539738,29,2,806342602,ship_info,(),"(1000, 2001)","(1.0304423486670788e-07, 269.9529820731215)",(),(),(),"(6.426380960544402e-07, -0.49509555874701106)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5242185494422127, 0.5911647302853056)","(11.814439282380711, 150.06362781053568)","(8.201245467716093e-08, 135.24831404705805)"
