time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.DCPA,.TCPA,.UDCPA,.UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/07/05/17:37:13.235891,1,0,0,,"(292.4462585449219,)","(265.81329345703125,)","(0.0,)","(0.0,)","(0.0,)","(0.662050724029541,)","(0.6418169736862183,)","(0.06599999964237213,)","(5.962050437927246,)","(3.8085546493530273,)","(2.2392680644989014,)","(1.7773082256317139,)",['Port crossing']
2024/07/05/17:37:13.328828,2,0,0,,"(291.6731872558594,)","(264.7909851074219,)","(0.0,)","(0.0,)","(0.0,)","(0.6686557531356812,)","(0.6474260687828064,)","(0.06599999964237213,)","(5.93522834777832,)","(3.8000328540802,)","(2.2285094261169434,)","(1.7692393064498901,)",['Port crossing']
2024/07/05/17:37:13.437109,3,0,0,,"(291.1788024902344,)","(265.7904968261719,)","(0.0,)","(0.0,)","(0.0,)","(0.6650516986846924,)","(0.6514986157417297,)","(0.06599999964237213,)","(5.922684192657471,)","(3.7939951419830322,)","(2.2156434059143066,)","(1.759589672088623,)",['Port crossing']
2024/07/05/17:37:13.534095,4,0,0,,"(290.89544677734375,)","(268.4409484863281,)","(0.0,)","(0.0,)","(0.0,)","(0.6533523797988892,)","(0.654543399810791,)","(0.06499999761581421,)","(5.920586109161377,)","(3.789619207382202,)","(2.2006583213806152,)","(1.7483508586883545,)",['Port crossing']
2024/07/05/17:37:13.636724,5,0,0,,"(290.77288818359375,)","(272.6748962402344,)","(0.0,)","(0.0,)","(0.0,)","(0.6344386339187622,)","(0.6569398641586304,)","(0.06400000303983688,)","(5.92651891708374,)","(3.786262035369873,)","(2.1830639839172363,)","(1.7351551055908203,)",['Port crossing']
2024/07/05/17:37:13.739368,6,0,0,,"(288.3111572265625,)","(307.83966064453125,)","(0.0,)","(0.0,)","(0.0,)","(0.6199312806129456,)","(0.5876320004463196,)","(0.061000000685453415,)","(5.912301063537598,)","(3.783456325531006,)","(2.1839210987091064,)","(1.7357980012893677,)",['Port crossing']
2024/07/05/17:37:13.833064,7,0,0,,"(288.2314758300781,)","(316.26495361328125,)","(0.0,)","(0.0,)","(0.0,)","(0.5875144004821777,)","(0.5897127985954285,)","(0.05900000035762787,)","(5.930018901824951,)","(3.780776023864746,)","(2.159393787384033,)","(1.717402458190918,)",['Port crossing']
2024/07/05/17:37:13.933830,8,0,0,,"(288.1484375,)","(324.830810546875,)","(0.0,)","(0.0,)","(0.0,)","(0.5538649559020996,)","(0.5893193483352661,)","(0.05700000002980232,)","(5.956728935241699,)","(3.7813847064971924,)","(2.1400744915008545,)","(1.7029130458831787,)",['Port crossing']
2024/07/05/17:37:14.034035,9,0,0,,"(287.8942565917969,)","(330.4839172363281,)","(0.0,)","(0.0,)","(0.0,)","(0.5337327718734741,)","(0.5907527208328247,)","(0.054999999701976776,)","(5.966196060180664,)","(3.779249429702759,)","(2.1243324279785156,)","(1.6911064386367798,)",['Port crossing']
2024/07/05/17:37:14.134824,10,0,0,,"(287.53851318359375,)","(332.931640625,)","(0.0,)","(0.0,)","(0.0,)","(0.5261719226837158,)","(0.5935298800468445,)","(0.054999999701976776,)","(5.961281776428223,)","(3.775243043899536,)","(2.113171339035034,)","(1.6827356815338135,)",['Port crossing']
2024/07/05/17:37:14.234165,11,0,0,,"(287.14593505859375,)","(332.0825500488281,)","(0.0,)","(0.0,)","(0.0,)","(0.5282449722290039,)","(0.5949602723121643,)","(0.054999999701976776,)","(5.953994274139404,)","(3.77323317527771,)","(2.1114749908447266,)","(1.681463360786438,)",['Port crossing']
2024/07/05/17:37:14.334916,12,0,0,,"(286.7131042480469,)","(328.5991516113281,)","(0.0,)","(0.0,)","(0.0,)","(0.5383397936820984,)","(0.595465362071991,)","(0.0560000017285347,)","(5.944011211395264,)","(3.772587537765503,)","(2.117100715637207,)","(1.6856826543807983,)",['Port crossing']
2024/07/05/17:37:14.434269,13,0,0,,"(286.22869873046875,)","(323.0239562988281,)","(0.0,)","(0.0,)","(0.0,)","(0.5554311275482178,)","(0.5952764749526978,)","(0.05700000002980232,)","(5.931149005889893,)","(3.7729129791259766,)","(2.128715991973877,)","(1.6943942308425903,)",['Port crossing']
2024/07/05/17:37:14.533735,14,0,0,,"(285.6729431152344,)","(315.8245849609375,)","(0.0,)","(0.0,)","(0.0,)","(0.5788724422454834,)","(0.5946192145347595,)","(0.057999998331069946,)","(5.91487455368042,)","(3.7738044261932373,)","(2.145231246948242,)","(1.7067805528640747,)",['Port crossing']
2024/07/05/17:37:14.635376,15,0,0,,"(285.16290283203125,)","(308.6399230957031,)","(0.0,)","(0.0,)","(0.0,)","(0.5999868512153625,)","(0.5906664133071899,)","(0.05999999865889549,)","(5.911683082580566,)","(3.7792720794677734,)","(2.1685292720794678,)","(1.7242541313171387,)",['Port crossing']
2024/07/05/17:37:14.735745,16,0,0,,"(284.7297058105469,)","(306.3447265625,)","(0.0,)","(0.0,)","(0.0,)","(0.6060454845428467,)","(0.5899990797042847,)","(0.05999999865889549,)","(5.908588409423828,)","(3.7801499366760254,)","(2.1743662357330322,)","(1.7286317348480225,)",['Port crossing']
2024/07/05/17:37:14.838703,17,0,0,,"(278.8265686035156,)","(311.3133850097656,)","(0.0,)","(0.0,)","(0.0,)","(0.6113051772117615,)","(0.5766099095344543,)","(0.05999999865889549,)","(5.92745304107666,)","(3.7807018756866455,)","(2.1611900329589844,)","(1.7187496423721313,)",['Port crossing']
2024/07/05/17:37:14.935206,18,0,0,,"(278.6435852050781,)","(314.3400573730469,)","(0.0,)","(0.0,)","(0.0,)","(0.5962727069854736,)","(0.5750063061714172,)","(0.05900000035762787,)","(5.9442291259765625,)","(3.783045768737793,)","(2.1564931869506836,)","(1.7152270078659058,)",['Port crossing']
2024/07/05/17:37:15.034876,19,0,0,,"(278.5218811035156,)","(319.3586730957031,)","(0.0,)","(0.0,)","(0.0,)","(0.5737572312355042,)","(0.5727272629737854,)","(0.05700000002980232,)","(5.969022274017334,)","(3.786295175552368,)","(2.1487207412719727,)","(1.7093976736068726,)",['Port crossing']
2024/07/05/17:37:15.134339,20,0,0,,"(278.3296203613281,)","(321.5509948730469,)","(0.0,)","(0.0,)","(0.0,)","(0.5590953826904297,)","(0.5681791305541992,)","(0.0560000017285347,)","(5.99582052230835,)","(3.7927355766296387,)","(2.1514053344726562,)","(1.7114111185073853,)",['Port crossing']
2024/07/05/17:37:15.236761,21,0,0,,"(277.976806640625,)","(320.86114501953125,)","(0.0,)","(0.0,)","(0.0,)","(0.5576417446136475,)","(0.5667649507522583,)","(0.0560000017285347,)","(6.00134801864624,)","(3.794757604598999,)","(2.154592275619507,)","(1.713801383972168,)",['Port crossing']
2024/07/05/17:37:15.336158,22,0,0,,"(277.54541015625,)","(317.0384826660156,)","(0.0,)","(0.0,)","(0.0,)","(0.5669504404067993,)","(0.5652502775192261,)","(0.05700000002980232,)","(5.999032020568848,)","(3.79697847366333,)","(2.164918899536133,)","(1.7215462923049927,)",['Port crossing']
2024/07/05/17:37:15.434363,23,0,0,,"(277.1656188964844,)","(312.18109130859375,)","(0.0,)","(0.0,)","(0.0,)","(0.5756796598434448,)","(0.5596759915351868,)","(0.05700000002980232,)","(6.011708736419678,)","(3.8050224781036377,)","(2.185232639312744,)","(1.7367817163467407,)",['Port crossing']
2024/07/05/17:37:15.534518,24,0,0,,"(276.7161865234375,)","(306.3059997558594,)","(0.0,)","(0.0,)","(0.0,)","(0.5898207426071167,)","(0.5552663207054138,)","(0.057999998331069946,)","(6.015870571136475,)","(3.8113884925842285,)","(2.2061514854431152,)","(1.7524707317352295,)",['Port crossing']
2024/07/05/17:37:15.635021,25,0,0,,"(276.3116149902344,)","(301.93304443359375,)","(0.0,)","(0.0,)","(0.0,)","(0.5977996587753296,)","(0.5501183271408081,)","(0.057999998331069946,)","(6.027455806732178,)","(3.8188347816467285,)","(2.2251908779144287,)","(1.7667503356933594,)",['Port crossing']
2024/07/05/17:37:15.734892,26,0,0,,"(275.9533996582031,)","(302.32952880859375,)","(0.0,)","(0.0,)","(0.0,)","(0.5922494530677795,)","(0.5489374995231628,)","(0.057999998331069946,)","(6.035459041595459,)","(3.82057523727417,)","(2.225308895111084,)","(1.7668389081954956,)",['Port crossing']
2024/07/05/17:37:15.830950,27,0,0,,"(275.6629943847656,)","(305.201416015625,)","(0.0,)","(0.0,)","(0.0,)","(0.5763567686080933,)","(0.547039270401001,)","(0.05700000002980232,)","(6.054253578186035,)","(3.8233721256256104,)","(2.220628023147583,)","(1.763328194618225,)",['Port crossing']
2024/07/05/17:37:15.936411,28,0,0,,"(269.7366027832031,)","(293.35821533203125,)","(0.0,)","(0.0,)","(0.0,)","(0.5774410367012024,)","(0.5542795658111572,)","(0.05700000002980232,)","(6.082510948181152,)","(3.8315110206604004,)","(2.228672981262207,)","(1.7693618535995483,)",['Port crossing']
2024/07/05/17:37:16.037798,29,0,0,,"(269.4511413574219,)","(293.6833801269531,)","(0.0,)","(0.0,)","(0.0,)","(0.5671594142913818,)","(0.5487311482429504,)","(0.0560000017285347,)","(6.110334873199463,)","(3.839650869369507,)","(2.2370803356170654,)","(1.775667428970337,)",['Port crossing']
2024/07/05/17:37:16.138607,30,0,0,,"(269.021728515625,)","(291.6504821777344,)","(0.0,)","(0.0,)","(0.0,)","(0.5705490112304688,)","(0.5473003387451172,)","(0.0560000017285347,)","(6.112208843231201,)","(3.8417863845825195,)","(2.2437617778778076,)","(1.7806785106658936,)",['Port crossing']
2024/07/05/17:37:16.236484,31,0,0,,"(268.5636291503906,)","(286.8874206542969,)","(0.0,)","(0.0,)","(0.0,)","(0.5817867517471313,)","(0.5434821248054504,)","(0.05700000002980232,)","(6.116686820983887,)","(3.847478151321411,)","(2.262026071548462,)","(1.7943766117095947,)",['Port crossing']
2024/07/05/17:37:16.336004,32,0,0,,"(268.1472473144531,)","(283.13629150390625,)","(0.0,)","(0.0,)","(0.0,)","(0.587299644947052,)","(0.538080632686615,)","(0.05700000002980232,)","(6.1315836906433105,)","(3.85552978515625,)","(2.280844211578369,)","(1.80849027633667,)",['Port crossing']
2024/07/05/17:37:16.436852,33,0,0,,"(267.6859436035156,)","(278.4693603515625,)","(0.0,)","(0.0,)","(0.0,)","(0.5973780751228333,)","(0.5331851243972778,)","(0.057999998331069946,)","(6.140876770019531,)","(3.862844705581665,)","(2.3015072345733643,)","(1.823987603187561,)",['Port crossing']
2024/07/05/17:37:16.532857,34,0,0,,"(267.2738952636719,)","(277.4678955078125,)","(0.0,)","(0.0,)","(0.0,)","(0.594768762588501,)","(0.5302489995956421,)","(0.05700000002980232,)","(6.153220176696777,)","(3.8672730922698975,)","(2.3084616661071777,)","(1.8292033672332764,)",['Port crossing']
2024/07/05/17:37:16.629946,35,0,0,,"(266.8995361328125,)","(279.6412353515625,)","(0.0,)","(0.0,)","(0.0,)","(0.5805665850639343,)","(0.528654932975769,)","(0.0560000017285347,)","(6.170008182525635,)","(3.869701862335205,)","(2.3039467334747314,)","(1.8258172273635864,)",['Port crossing']
2024/07/05/17:37:16.730562,36,0,0,,"(266.50079345703125,)","(279.3636779785156,)","(0.0,)","(0.0,)","(0.0,)","(0.5715168714523315,)","(0.5234116315841675,)","(0.0560000017285347,)","(6.196413040161133,)","(3.87764573097229,)","(2.3128726482391357,)","(1.8325115442276,)",['Port crossing']
2024/07/05/17:37:16.831275,37,0,0,,"(266.0391540527344,)","(276.7834777832031,)","(0.0,)","(0.0,)","(0.0,)","(0.5756706595420837,)","(0.5208534598350525,)","(0.0560000017285347,)","(6.201926231384277,)","(3.8815531730651855,)","(2.3235039710998535,)","(1.8404850959777832,)",['Port crossing']
2024/07/05/17:37:16.932785,38,0,0,,"(265.5540771484375,)","(272.02069091796875,)","(0.0,)","(0.0,)","(0.0,)","(0.5875423550605774,)","(0.5170316696166992,)","(0.0560000017285347,)","(6.205886363983154,)","(3.8873918056488037,)","(2.3429954051971436,)","(1.8551037311553955,)",['Port crossing']
2024/07/05/17:37:17.031054,39,0,0,,"(259.2165832519531,)","(255.49478149414062,)","(0.0,)","(0.0,)","(0.0,)","(0.6010124683380127,)","(0.5350589156150818,)","(0.057999998331069946,)","(6.219412326812744,)","(3.893456220626831,)","(2.355405807495117,)","(1.8644115924835205,)",['Port crossing']
2024/07/05/17:37:17.130605,40,0,0,,"(258.83209228515625,)","(256.2616882324219,)","(0.0,)","(0.0,)","(0.0,)","(0.590684711933136,)","(0.5321452617645264,)","(0.05700000002980232,)","(6.238292694091797,)","(3.89795184135437,)","(2.357196092605591,)","(1.865754246711731,)",['Port crossing']
2024/07/05/17:37:17.230630,41,0,0,,"(258.44940185546875,)","(256.9414367675781,)","(0.0,)","(0.0,)","(0.0,)","(0.5782642364501953,)","(0.5274216532707214,)","(0.0560000017285347,)","(6.265906810760498,)","(3.905235528945923,)","(2.3625845909118652,)","(1.869795560836792,)",['Port crossing']
2024/07/05/17:37:17.330133,42,0,0,,"(257.96875,)","(255.12100219726562,)","(0.0,)","(0.0,)","(0.0,)","(0.5802972316741943,)","(0.5252758860588074,)","(0.0560000017285347,)","(6.271617412567139,)","(3.908569097518921,)","(2.3708744049072266,)","(1.876012921333313,)",['Port crossing']
2024/07/05/17:37:17.433373,43,0,0,,"(257.4424743652344,)","(250.94338989257812,)","(0.0,)","(0.0,)","(0.0,)","(0.5924485325813293,)","(0.5225736498832703,)","(0.05700000002980232,)","(6.271013259887695,)","(3.912769079208374,)","(2.3879001140594482,)","(1.888782262802124,)",['Port crossing']
2024/07/05/17:37:17.530541,44,0,0,,"(256.93585205078125,)","(247.07505798339844,)","(0.0,)","(0.0,)","(0.0,)","(0.6006984114646912,)","(0.5178267359733582,)","(0.05700000002980232,)","(6.281550407409668,)","(3.920156478881836,)","(2.4081335067749023,)","(1.9039573669433594,)",['Port crossing']
2024/07/05/17:37:17.634904,45,0,0,,"(256.4660949707031,)","(247.7198028564453,)","(0.0,)","(0.0,)","(0.0,)","(0.5932521224021912,)","(0.5171682238578796,)","(0.05700000002980232,)","(6.289490699768066,)","(3.921212911605835,)","(2.4056003093719482,)","(1.902057409286499,)",['Port crossing']
2024/07/05/17:37:17.735305,46,0,0,,"(256.022216796875,)","(249.98719787597656,)","(0.0,)","(0.0,)","(0.0,)","(0.5757830739021301,)","(0.5148833394050598,)","(0.0560000017285347,)","(6.312215805053711,)","(3.924814224243164,)","(2.4006197452545166,)","(1.8983218669891357,)",['Port crossing']
2024/07/05/17:37:17.834508,47,0,0,,"(255.53565979003906,)","(249.72776794433594,)","(0.0,)","(0.0,)","(0.0,)","(0.5672271847724915,)","(0.5106295347213745,)","(0.054999999701976776,)","(6.335197925567627,)","(3.931509256362915,)","(2.4076244831085205,)","(1.9035755395889282,)",['Port crossing']
2024/07/05/17:37:17.936100,48,0,0,,"(255.02401733398438,)","(249.36251831054688,)","(0.0,)","(0.0,)","(0.0,)","(0.5584691166877747,)","(0.5060715079307556,)","(0.05400000140070915,)","(6.359654426574707,)","(3.9387123584747314,)","(2.4153902530670166,)","(1.9093998670578003,)",['Port crossing']
2024/07/05/17:37:18.033387,49,0,0,,"(249.0404510498047,)","(234.7291259765625,)","(0.0,)","(0.0,)","(0.0,)","(0.5773630142211914,)","(0.5268610119819641,)","(0.0560000017285347,)","(6.355784893035889,)","(3.939587354660034,)","(2.422137975692749,)","(1.91446053981781,)",['Port crossing']
2024/07/05/17:37:18.136742,50,0,0,,"(248.51332092285156,)","(231.0915985107422,)","(0.0,)","(0.0,)","(0.0,)","(0.5861198306083679,)","(0.5227640867233276,)","(0.05700000002980232,)","(6.363608360290527,)","(3.9461164474487305,)","(2.4413838386535645,)","(1.9288949966430664,)",['Port crossing']
2024/07/05/17:37:18.237659,51,0,0,,"(248.01356506347656,)","(229.28515625,)","(0.0,)","(0.0,)","(0.0,)","(0.5861018896102905,)","(0.5188194513320923,)","(0.0560000017285347,)","(6.378296375274658,)","(3.952413558959961,)","(2.4539082050323486,)","(1.9382883310317993,)",['Port crossing']
2024/07/05/17:37:18.336099,52,0,0,,"(247.45851135253906,)","(225.80081176757812,)","(0.0,)","(0.0,)","(0.0,)","(0.5962185263633728,)","(0.515967071056366,)","(0.05700000002980232,)","(6.379910945892334,)","(3.9569756984710693,)","(2.470691442489624,)","(1.9508757591247559,)",['Port crossing']
