time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.m_nPacketCode,.m_nShipID,.m_fltHeading,.m_fltDriftangle,.m_fltShipTime,.m_fltRudderAngleFeedPORT,.m_fltRudderAngleFeedSTBD,.m_fltPropellerRPSFeedPORT,.m_fltPropellerRPSFeedSTBD,.m_fltFOGvel_rollx,.m_fltFOGvel_pitchy,.m_fltFOGvel_yawz,.m_fltFOGang_rollx,.m_fltFOGang_pitchy,.m_fltFOGang_yawz,.m_fltFOGvel_yawzG,.m_fltFOGang_yawzG,.m_fltIncl_heelx,.m_fltIncl_trimy,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/07/05/17:37:13.293375,10,0,882480145,ship_info,(),"(1000, 2001)","(351.0025800977145, 88.40756457522225)",(),(),(),"(-34.984802970688065, 34.984802970688065)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.40438023309032206, 0.5994583320797802)","(2.918764687225219, 150.00854727556754)","(-0.10726196507110097, -149.4006026059614)"
2024/07/05/17:37:13.393455,11,0,982461453,ship_info,(),"(1000, 2001)","(351.2868768074718, 88.40756457522225)",(),(),(),"(-34.984802970688065, 34.984802970688065)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.3999189320515684, 0.5994583320797802)","(3.316273083808601, 150.00854727556754)","(-0.15110517274316082, -149.4006026059614)"
2024/07/05/17:37:13.493493,12,1,82500458,ship_info,(),"(1000, 2001)","(352.3605603423749, 88.40756457522225)",(),(),(),"(-34.984802970688065, 34.984802970688065)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.39670466848654445, 0.5994583320797802)","(3.710615158139485, 150.00854727556754)","(-0.1943362080237884, -149.4006026059614)"
2024/07/05/17:37:13.593421,13,1,182484388,ship_info,(),"(1000, 2001)","(354.12514809487897, 88.40756457522225)",(),(),(),"(-34.984802970688065, 34.984802970688065)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.39424933370117665, 0.5994583320797802)","(4.102901586044048, 150.00854727556754)","(-0.23362864502761044, -149.4006026059614)"
2024/07/05/17:37:13.693559,14,1,282485485,ship_info,(),"(1000, 2001)","(356.5360066311946, 91.7228015267719)",(),(),(),"(-34.984802970688065, 34.984802970688065)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.3922046800043021, 0.4947703444694189)","(4.49379333133422, 150.1872434961054)","(-0.26569349309025664, -144.04103754722397)"
2024/07/05/17:37:13.793433,15,1,382495880,ship_info,(),"(1000, 2001)","(359.56950444241625, 91.7228015267719)",(),(),(),"(-34.984802970688065, 34.984802970688065)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.3902574287755311, 0.4947703444694189)","(4.8834607947317155, 150.1872434961054)","(-0.28714410342772795, -144.04103754722397)"
2024/07/05/17:37:13.893397,16,1,482495308,ship_info,(),"(1000, 2001)","(2.708160547756029, 91.7228015267719)",(),(),(),"(-17.39942438975494, 34.984802970688065)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.39069917664273246, 0.4947703444694189)","(5.274077389158289, 150.1872434961054)","(-0.29517671121690686, -144.04103754722397)"
2024/07/05/17:37:13.993321,17,1,582453013,ship_info,(),"(1000, 2001)","(4.556637146244618, 91.7228015267719)",(),(),(),"(20.422938363925095, 34.984802970688065)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.38915108731840503, 0.4947703444694189)","(5.663202141712186, 150.1872434961054)","(-0.2906494923172928, -144.04103754722397)"
2024/07/05/17:37:14.093480,18,1,682466745,ship_info,(),"(1000, 2001)","(5.202817861450403, 91.7228015267719)",(),(),(),"(34.984802970688065, 34.984802970688065)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.38625652058941623, 0.4947703444694189)","(6.049262561781602, 150.1872434961054)","(-0.27834291872153766, -144.04103754722397)"
2024/07/05/17:37:14.193368,19,1,782461166,ship_info,(),"(1000, 2001)","(4.924156700958827, 91.7228015267719)",(),(),(),"(34.984802970688065, 34.984802970688065)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.3848095819661012, 0.4947703444694189)","(6.433743495023958, 150.1872434961054)","(-0.2624424047042794, -144.04103754722397)"
