time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.V_opt,.Collision_cone
2024/07/05/17:37:13.235906,1,0,0,,"(0.9499249458312988, 0.011939650401473045)","(2.53310489654541, 0.5327464938163757, 79.74205017089844, -69.88761901855469, 71.98981475830078, -77.54424285888672)"
2024/07/05/17:37:13.328855,2,0,0,,"(0.949999988079071, 4.2779640352819115e-05)","(2.9354233741760254, 0.49196484684944153, 79.35089874267578, -70.78864288330078, 73.07194519042969, -76.97492218017578)"
2024/07/05/17:37:13.437124,3,0,0,,"(0.949988067150116, 0.004756577778607607)","(3.3329317569732666, 0.4481216371059418, 79.841796875, -70.73223876953125, 73.1805419921875, -77.27935791015625)"
2024/07/05/17:37:13.534066,4,0,0,,"(0.9497321844100952, 0.02255682460963726)","(3.727273941040039, 0.40489059686660767, 86.06170654296875, -63.1328239440918, 65.6321792602539, -83.16413879394531)"
2024/07/05/17:37:13.636687,5,0,0,,"(0.9499977231025696, 0.0020750323310494423)","(4.119560241699219, 0.3655981719493866, 79.92252349853516, -70.83770751953125, 73.6300277709961, -76.99262237548828)"
2024/07/05/17:37:13.739416,6,0,0,,"(0.9499688744544983, -0.007693217135965824)","(4.478918552398682, 0.22885319590568542, 86.54010009765625, -60.35136413574219, 66.14129638671875, -81.02230834960938)"
2024/07/05/17:37:13.833120,7,0,0,,"(0.9499731659889221, -0.007137819658964872)","(4.86858606338501, 0.20740258693695068, 86.9238052368164, -60.380889892578125, 66.33331298828125, -81.1933822631836)"
2024/07/05/17:37:13.933813,8,0,0,,"(0.9499876499176025, -0.004838860593736172)","(5.259202480316162, 0.19936998188495636, 87.08965301513672, -60.69215393066406, 66.810546875, -81.13593292236328)"
2024/07/05/17:37:14.034045,9,0,0,,"(0.9496985673904419, -0.023929331451654434)","(5.648327350616455, 0.20389720797538757, 80.76245880126953, -68.0611572265625, 74.31556701660156, -74.5427474975586)"
2024/07/05/17:37:14.134802,10,0,0,,"(0.9499080777168274, -0.013217354193329811)","(6.034387588500977, 0.21620377898216248, 83.71498107910156, -65.11354064941406, 71.5664291381836, -77.29380798339844)"
2024/07/05/17:37:14.234078,11,0,0,,"(0.949832558631897, -0.01783710904419422)","(6.418868541717529, 0.23210428655147552, 82.7476577758789, -66.67205047607422, 73.30970001220703, -76.10836029052734)"
2024/07/05/17:37:14.334824,12,0,0,,"(0.9498887658119202, 0.014535597525537014)","(6.802883625030518, 0.24803921580314636, 81.38774108886719, -68.59489440917969, 75.42472076416016, -74.540283203125)"
