time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.group_wpts_info
2024/07/05/17:37:13.298457,10,1,154972,group waypoint list,"[shipID: 1000
wpts_x: [0.0, 300.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [150.0, -150.0]
target_spd: [1.0, 1.0]]"
2024/07/05/17:37:13.399620,11,1,100162029,group waypoint list,"[shipID: 1000
wpts_x: [0.0, 300.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [150.0, -150.0]
target_spd: [1.0, 1.0]]"
2024/07/05/17:37:13.499725,12,1,200165749,group waypoint list,"[shipID: 1000
wpts_x: [0.0, 300.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [150.0, -150.0]
target_spd: [1.0, 1.0]]"
2024/07/05/17:37:13.599577,13,1,300175905,group waypoint list,"[shipID: 1000
wpts_x: [0.0, 300.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [150.0, -150.0]
target_spd: [1.0, 1.0]]"
2024/07/05/17:37:13.698944,14,1,400167942,group waypoint list,"[shipID: 1000
wpts_x: [0.0, 300.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [150.0, -150.0]
target_spd: [1.0, 1.0]]"
2024/07/05/17:37:13.799326,15,1,500166893,group waypoint list,"[shipID: 1000
wpts_x: [0.0, 300.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [150.0, -150.0]
target_spd: [1.0, 1.0]]"
2024/07/05/17:37:13.897357,16,1,600173712,group waypoint list,"[shipID: 1000
wpts_x: [0.0, 300.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [150.0, -150.0]
target_spd: [1.0, 1.0]]"
2024/07/05/17:37:13.997468,17,1,700135708,group waypoint list,"[shipID: 1000
wpts_x: [0.0, 300.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [150.0, -150.0]
target_spd: [1.0, 1.0]]"
2024/07/05/17:37:14.097462,18,1,800140619,group waypoint list,"[shipID: 1000
wpts_x: [0.0, 300.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [150.0, -150.0]
target_spd: [1.0, 1.0]]"
2024/07/05/17:37:14.197469,19,1,900139332,group waypoint list,"[shipID: 1000
wpts_x: [0.0, 300.0]
wpts_y: [0.0, 0.0]
target_spd: [1.0, 1.0], shipID: 2001
wpts_x: [150.0, 150.0]
wpts_y: [150.0, -150.0]
target_spd: [1.0, 1.0]]"
